"pathway","n_genes_in_pathway","n_genes_present_in_rank"
"HALLMARK_ADIPOGENESIS",193,173
"HALLMARK_ALLOGRAFT_REJECTION",198,145
"HALLMARK_ANDROGEN_RESPONSE",97,81
"HALLMARK_ANGIOGENESIS",34,32
"HALLMARK_APICAL_JUNCTION",194,147
"HALLMARK_APICAL_SURFACE",42,30
"HALLMARK_APOPTOSIS",159,137
"HALLMARK_BILE_ACID_METABOLISM",109,79
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",72,65
"HALLMARK_COAGULATION",132,97
"HALLMARK_COMPLEMENT",188,150
"HALLMARK_DNA_REPAIR",145,133
"HALLMARK_E2F_TARGETS",200,175
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",195,172
"HALLMARK_ESTROGEN_RESPONSE_EARLY",194,146
"HALLMARK_ESTROGEN_RESPONSE_LATE",192,138
"HALLMARK_FATTY_ACID_METABOLISM",154,124
"HALLMARK_G2M_CHECKPOINT",197,178
"HALLMARK_GLYCOLYSIS",197,158
"HALLMARK_HEDGEHOG_SIGNALING",36,24
"HALLMARK_HEME_METABOLISM",189,150
"HALLMARK_HYPOXIA",195,166
"HALLMARK_IL2_STAT5_SIGNALING",192,159
"HALLMARK_IL6_JAK_STAT3_SIGNALING",82,64
"HALLMARK_INFLAMMATORY_RESPONSE",196,147
"HALLMARK_INTERFERON_ALPHA_RESPONSE",89,77
"HALLMARK_INTERFERON_GAMMA_RESPONSE",183,150
"HALLMARK_KRAS_SIGNALING_DN",189,79
"HALLMARK_KRAS_SIGNALING_UP",197,155
"HALLMARK_MITOTIC_SPINDLE",196,180
"HALLMARK_MTORC1_SIGNALING",197,183
"HALLMARK_MYC_TARGETS_V1",198,175
"HALLMARK_MYC_TARGETS_V2",57,52
"HALLMARK_MYOGENESIS",195,148
"HALLMARK_NOTCH_SIGNALING",32,32
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,171
"HALLMARK_P53_PATHWAY",188,166
"HALLMARK_PANCREAS_BETA_CELLS",37,17
"HALLMARK_PEROXISOME",102,79
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,89
"HALLMARK_PROTEIN_SECRETION",93,85
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",47,41
"HALLMARK_SPERMATOGENESIS",126,65
"HALLMARK_TGF_BETA_SIGNALING",53,50
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",193,169
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",112,103
"HALLMARK_UV_RESPONSE_DN",141,134
"HALLMARK_UV_RESPONSE_UP",155,130
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,36
"HALLMARK_XENOBIOTIC_METABOLISM",191,146
