"gene_id","gene_symbol","logFC","logCPM","F","PValue","FDR"
"ENSSSCG00000000029","SCUBE1",-2.3594768183257,7.35400363841988,40.3019138858923,1.23289148007776e-06,0.000193014521603914
"ENSSSCG00000000151","ENSSSCG00000000151",-2.02081862841166,2.50982002534174,8.77030293305504,0.00664967218626768,0.0323773529854313
"ENSSSCG00000000214","GPD1",-1.37690615670532,3.49038461298877,12.9195648529463,0.00138287606066866,0.0116272994172859
"ENSSSCG00000000261","IGFBP6",1.03020461752352,8.53114263381555,9.759306992157,0.0044625467949034,0.0247303045352034
"ENSSSCG00000000363","GDF11",1.00818769400721,3.10663696566829,36.7124242339383,2.16214932033306e-06,0.000259511972172976
"ENSSSCG00000000515","TRHDE",-1.31013965100544,4.04370011240382,21.1291531677675,0.000102937537816487,0.002232845417426
"ENSSSCG00000000577","GYS2",-1.01504959711426,1.81733864142963,10.7862897726942,0.00294497648357538,0.0188937622685684
"ENSSSCG00000000732","CRACR2A",-1.22336520187828,0.463928952990929,15.7615411977059,0.00051645701297726,0.0061833170057452
"ENSSSCG00000000741","NRIP2",-1.55600146436584,1.62981984085772,24.5153112404033,3.96530073746615e-05,0.00131590633911708
"ENSSSCG00000000795","ADAMTS20",-1.40231683220063,0.877456358045898,12.6224873225056,0.00151316998173881,0.0122027924115253
"ENSSSCG00000000867","SPIC",-1.11211666582195,0.628478660483165,8.19101587404868,0.00829625153421631,0.0376883288316798
"ENSSSCG00000000936","SLC6A15",1.74924021534474,2.167073123197,26.1777413067292,2.5930600185325e-05,0.00104323585047272
"ENSSSCG00000000951","CSRP2",1.22503707521441,4.01083185815149,22.745687233635,6.51960391483786e-05,0.00175309393273991
"ENSSSCG00000001025","DSP",1.17859912128594,5.68304418034461,11.5271200672319,0.00229994131374543,0.0162144173969043
"ENSSSCG00000001027","BMP6",1.55637621414625,3.73925437208871,18.9652370134772,0.000195336463672606,0.00330991892503122
"ENSSSCG00000001085","DCDC2",-1.21584592373839,1.32683490956614,7.79926481609166,0.00980477056043494,0.0422682162172836
"ENSSSCG00000001594","ENSSSCG00000001594",-1.17675617562863,1.6128866490502,16.6426337131734,0.000386175852779467,0.0051075214027389
"ENSSSCG00000001620","MDFI",-1.00518013673942,2.8365465683563,29.4348914125079,1.11783978212849e-05,0.000659846163196582
"ENSSSCG00000001832","ACAN",2.49610118783727,6.07678612000495,8.10088072269238,0.00908809125153741,0.040071525272593
"ENSSSCG00000001844","PLIN1",-2.82085372429148,5.59627491206257,8.73958223181283,0.0070324256452299,0.0337064980260387
"ENSSSCG00000002135","PNP",1.0136812900301,4.20789176666013,12.9980094742873,0.00133389646878553,0.0114216668771452
"ENSSSCG00000002257","MCTP2",1.09042416880511,2.55041563522954,29.5364539375417,1.09146704710966e-05,0.000649603300806627
"ENSSSCG00000002383","FOS",1.3932840031519,5.39185279148193,7.74972370579504,0.0102194994214565,0.043483441703763
"ENSSSCG00000002385","TGFB3",1.0312863618854,4.70671836308216,13.4291887774852,0.00114933023120852,0.0103850710916539
"ENSSSCG00000002450","SLC24A4",-1.36630796591775,1.96495931885206,14.0074231693645,0.000932947500574588,0.00906085155143344
"ENSSSCG00000002464","PRIMA1",-1.03074195692717,2.51158780321379,7.66477984580648,0.0103704139423911,0.0439428232929662
"ENSSSCG00000002669","CRISPLD2",1.29045707034257,6.79147440724307,15.9598431659388,0.000501630810381368,0.00607652528336657
"ENSSSCG00000002709","ENSSSCG00000002709",2.21333788951643,2.88444839472748,18.2010957678405,0.000248642113207585,0.00386320642559746
"ENSSSCG00000002782","PLEKHG4",1.64772753602277,2.96930777847414,17.306916729921,0.000321008384022429,0.00454619838257133
"ENSSSCG00000002795","CDH11",1.07885383135068,5.78887100347482,11.9895162942672,0.00193833108225153,0.0143609992683481
"ENSSSCG00000002825","ENSSSCG00000002825",-3.18555166890832,2.43875452501261,14.5101550924052,0.00083096582946991,0.00841068225007387
"ENSSSCG00000002829","MMP2",1.42890996850138,10.7130093697035,41.4838503704533,8.44485373762102e-07,0.000161560526696237
"ENSSSCG00000002849","SHCBP1",1.01391307795069,0.326971009564508,15.0508446163347,0.00066234077340391,0.00732133089741866
"ENSSSCG00000002866","CEBPA",-1.26358354316941,4.19316836762138,21.9487105657177,8.17397955286823e-05,0.00199866022775678
"ENSSSCG00000003018","LIPE",-2.14639892368337,4.24174593271573,12.5777192731527,0.00161407552402019,0.0127210283451638
"ENSSSCG00000003079","ENSSSCG00000003079",1.15881656206263,4.9694770730105,9.92423939286899,0.00419711489783043,0.0238067482064466
"ENSSSCG00000003155","PPP1R15A",1.26870579439968,5.01344689193911,26.3820164514081,2.51927755302305e-05,0.00101924591562334
"ENSSSCG00000003239","HAS1",1.21204050402065,5.57124866805052,7.53829802054647,0.0111462596604011,0.0460923278463269
"ENSSSCG00000003251","NLRP12",-1.33415344610495,0.652500503107065,8.04395511143987,0.00881361422220116,0.0392039795065977
"ENSSSCG00000003366","CHD5",2.14218000058517,3.25192621399262,24.2059912463585,4.52853139815423e-05,0.00140644563357012
"ENSSSCG00000003371","GPR153",1.35605343651531,5.2797728176218,44.38085193736,5.12189296184284e-07,0.000125034956490546
"ENSSSCG00000003508","KIF17",1.39523244245811,0.474211359128724,10.1596830161124,0.0037756689508321,0.0222235226394911
"ENSSSCG00000003773","AK5",2.1640241901589,0.346663100233263,32.2119611448356,5.31334557119865e-06,0.000429933237426821
"ENSSSCG00000003793","LRRC7",3.08723579003994,1.97912959816367,48.3341694444969,2.66034597896152e-07,0.00010390556426659
"ENSSSCG00000003821","KANK4",-1.26827673764891,0.617458698444535,9.46361099158456,0.00495156744275096,0.0265416545879948
"ENSSSCG00000003823","C1orf87",1.41092806572782,0.663692577599876,9.86631775661129,0.00423036085081952,0.0238882995952415
"ENSSSCG00000003846","GLIS1",1.03618534966984,3.01371924903481,15.6409130167767,0.000535818792905934,0.00634048017836079
