"metric","value"
"run_status","SUCCESS"
"method_version","2026-05-27_chronic_pig_Salmon_tximport_quantification_audit_v1_TMM_aligned_metadata_path"
"quant_files_all_found","96"
"synovium_candidate_quant_files","48"
"quant_files_read_PASS","48"
"quant_files_standard_columns_PASS","48"
"counts_matrix_genes","22438"
"counts_matrix_samples","96"
"abundance_matrix_detected","TRUE"
"effective_length_matrix_detected","TRUE"
"counts_vs_abundance_sample_columns_identical","TRUE"
"counts_vs_effective_length_sample_columns_identical","TRUE"
"mean_total_estimated_counts","13777276.977"
"min_total_estimated_counts","7108677.116"
"max_total_estimated_counts","21575315.985"
"mean_detected_genes_count_gt0","16476.521"
"min_detected_genes_count_gt0","15555"
"max_detected_genes_count_gt0","17390"
"mean_gene_level_TPM_sum","986368.266"
"min_gene_level_TPM_sum","973187.294"
"max_gene_level_TPM_sum","994784.807"
"metadata_file_rows","24"
"metadata_vs_matrix_matched_by_exact_sample_col","24"
"metadata_vs_matrix_matched_by_geo_accession","24"
"tx2gene_match_rate_after_stripping_version_pct","99.028"
"tximport_run_summary_exists","TRUE"
"output_root","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/supplement/Salmon_tximport_QC"
