"sample_id","geo_accession","label_from_sample_id","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","tissue_from_sample_id","inferred_group_from_sample_id","tpm_sum_gene_level","genes_with_tpm_gt0","effective_length_na_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140438_CON1_cartilage","GSM7140438","CON1_cartilage",14591098.759,16445,16443,"cartilage","Control_52W",993345.096426,16445,0,0,1999.08954254056
"GSM7140439_ACLT1_cartilage","GSM7140439","ACLT1_cartilage",15096743.07,17006,17000,"cartilage","ACLT_alone_52W",991537.288651,17006,0,0,2045.64698439389
"GSM7140440_ACLT2_cartilage","GSM7140440","ACLT2_cartilage",16784161.953,16406,16403,"cartilage","ACLT_alone_52W",992778.663193,16406,0,0,2017.1506725626
"GSM7140441_ACLT3_cartilage","GSM7140441","ACLT3_cartilage",21257502.106,16094,16092,"cartilage","ACLT_alone_52W",992511.13257,16094,0,0,2032.96006912375
"GSM7140442_ACLT4_cartilage","GSM7140442","ACLT4_cartilage",11437664.357,16523,16517,"cartilage","ACLT_alone_52W",991249.4055,16523,0,0,1974.59028752678
"GSM7140443_CON2_cartilage","GSM7140443","CON2_cartilage",13261603.205,15686,15685,"cartilage","Control_52W",993701.539336,15686,0,0,1988.2025
"GSM7140444_ACLT5_cartilage","GSM7140444","ACLT5_cartilage",12477841.703,16035,16033,"cartilage","ACLT_alone_52W",992246.138894,16035,0,0,2061.716
"GSM7140445_ACLT6_cartilage","GSM7140445","ACLT6_cartilage",14792199.358,16188,16186,"cartilage","ACLT_alone_52W",993116.971987,16188,0,0,1907.822
"GSM7140446_ACLT7_cartilage","GSM7140446","ACLT7_cartilage",15318183.924,16155,16150,"cartilage","ACLT_alone_52W",993973.450329,16155,0,0,1919.22047107463
"GSM7140447_CON3_cartilage","GSM7140447","CON3_cartilage",16951156.961,16604,16600,"cartilage","Control_52W",992636.152993,16604,0,0,2040.07615248698
