"matrix_geo_accession","matrix_sample_id","quant_file","basename","label_from_filename","tissue_from_filename","inferred_group_from_filename","has_matching_synovium_quant_file"
"GSM7140438","GSM7140438_CON1_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140439","GSM7140439_ACLT1_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140440","GSM7140440_ACLT2_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140441","GSM7140441_ACLT3_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140442","GSM7140442_ACLT4_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140443","GSM7140443_CON2_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140444","GSM7140444_ACLT5_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140445","GSM7140445_ACLT6_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140446","GSM7140446_ACLT7_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140447","GSM7140447_CON3_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140448","GSM7140448_ACLT8_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140449","GSM7140449_ACLT9_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140450","GSM7140450_ACLT10_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140451","GSM7140451_ACLT11_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140452","GSM7140452_CON4_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140453","GSM7140453_ACLT12_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140454","GSM7140454_CON5_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140455","GSM7140455_RECON1_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140456","GSM7140456_RECON2_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140457","GSM7140457_RECON3_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140458","GSM7140458_RECON4_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140459","GSM7140459_CON6_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140460","GSM7140460_RECON5_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140461","GSM7140461_RECON6_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140462","GSM7140462_RECON7_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140463","GSM7140463_CON7_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140464","GSM7140464_RECON8_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140465","GSM7140465_RECON9_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140466","GSM7140466_RECON10_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140467","GSM7140467_RECON11_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140468","GSM7140468_CON8_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140469","GSM7140469_RECON12_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140470","GSM7140470_CON9_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140471","GSM7140471_REPAIR1_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140472","GSM7140472_REPAIR2_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140473","GSM7140473_REPAIR3_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140474","GSM7140474_REPAIR4_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140475","GSM7140475_CON10_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140476","GSM7140476_REPAIR5_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140477","GSM7140477_REPAIR6_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140478","GSM7140478_REPAIR7_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140479","GSM7140479_CON11_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140480","GSM7140480_REPAIR8_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140481","GSM7140481_REPAIR9_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140482","GSM7140482_REPAIR10_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140483","GSM7140483_REPAIR11_cartilage",NA,NA,NA,NA,NA,FALSE
"GSM7140484","GSM7140484_CON12_cartilage",NA,NA,NA,NA,NA,FALSE
