"quant_file","basename","geo_accession","label_from_filename","tissue_from_filename","inferred_group_from_filename","file_size_bytes"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140438_CON1_cartilage_quant.sf.txt.gz","GSM7140438_CON1_cartilage_quant.sf.txt.gz","GSM7140438","CON1_cartilage","cartilage","Control_52W",760040
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140439_ACLT1_cartilage_quant.sf.txt.gz","GSM7140439_ACLT1_cartilage_quant.sf.txt.gz","GSM7140439","ACLT1_cartilage","cartilage","ACLT_alone_52W",772930
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140440_ACLT2_cartilage_quant.sf.txt.gz","GSM7140440_ACLT2_cartilage_quant.sf.txt.gz","GSM7140440","ACLT2_cartilage","cartilage","ACLT_alone_52W",762087
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140441_ACLT3_cartilage_quant.sf.txt.gz","GSM7140441_ACLT3_cartilage_quant.sf.txt.gz","GSM7140441","ACLT3_cartilage","cartilage","ACLT_alone_52W",763626
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140442_ACLT4_cartilage_quant.sf.txt.gz","GSM7140442_ACLT4_cartilage_quant.sf.txt.gz","GSM7140442","ACLT4_cartilage","cartilage","ACLT_alone_52W",759459
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140443_CON2_cartilage_quant.sf.txt.gz","GSM7140443_CON2_cartilage_quant.sf.txt.gz","GSM7140443","CON2_cartilage","cartilage","Control_52W",746448
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140444_ACLT5_cartilage_quant.sf.txt.gz","GSM7140444_ACLT5_cartilage_quant.sf.txt.gz","GSM7140444","ACLT5_cartilage","cartilage","ACLT_alone_52W",752655
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140445_ACLT6_cartilage_quant.sf.txt.gz","GSM7140445_ACLT6_cartilage_quant.sf.txt.gz","GSM7140445","ACLT6_cartilage","cartilage","ACLT_alone_52W",754661
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140446_ACLT7_cartilage_quant.sf.txt.gz","GSM7140446_ACLT7_cartilage_quant.sf.txt.gz","GSM7140446","ACLT7_cartilage","cartilage","ACLT_alone_52W",757173
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140447_CON3_cartilage_quant.sf.txt.gz","GSM7140447_CON3_cartilage_quant.sf.txt.gz","GSM7140447","CON3_cartilage","cartilage","Control_52W",767281
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140448_ACLT8_cartilage_quant.sf.txt.gz","GSM7140448_ACLT8_cartilage_quant.sf.txt.gz","GSM7140448","ACLT8_cartilage","cartilage","ACLT_alone_52W",764046
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140449_ACLT9_cartilage_quant.sf.txt.gz","GSM7140449_ACLT9_cartilage_quant.sf.txt.gz","GSM7140449","ACLT9_cartilage","cartilage","ACLT_alone_52W",780003
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140450_ACLT10_cartilage_quant.sf.txt.gz","GSM7140450_ACLT10_cartilage_quant.sf.txt.gz","GSM7140450","ACLT10_cartilage","cartilage","ACLT_alone_52W",763435
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140451_ACLT11_cartilage_quant.sf.txt.gz","GSM7140451_ACLT11_cartilage_quant.sf.txt.gz","GSM7140451","ACLT11_cartilage","cartilage","ACLT_alone_52W",763225
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140452_CON4_cartilage_quant.sf.txt.gz","GSM7140452_CON4_cartilage_quant.sf.txt.gz","GSM7140452","CON4_cartilage","cartilage","Control_52W",766881
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140453_ACLT12_cartilage_quant.sf.txt.gz","GSM7140453_ACLT12_cartilage_quant.sf.txt.gz","GSM7140453","ACLT12_cartilage","cartilage","ACLT_alone_52W",749279
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140454_CON5_cartilage_quant.sf.txt.gz","GSM7140454_CON5_cartilage_quant.sf.txt.gz","GSM7140454","CON5_cartilage","cartilage","Control_52W",768484
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140455_RECON1_cartilage_quant.sf.txt.gz","GSM7140455_RECON1_cartilage_quant.sf.txt.gz","GSM7140455","RECON1_cartilage","cartilage","Reconstruction_52W",761096
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140456_RECON2_cartilage_quant.sf.txt.gz","GSM7140456_RECON2_cartilage_quant.sf.txt.gz","GSM7140456","RECON2_cartilage","cartilage","Reconstruction_52W",745511
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140457_RECON3_cartilage_quant.sf.txt.gz","GSM7140457_RECON3_cartilage_quant.sf.txt.gz","GSM7140457","RECON3_cartilage","cartilage","Reconstruction_52W",769489
