"quant_file","basename","geo_accession","label_from_filename","tissue_from_filename","inferred_group_from_filename","file_size_bytes"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486","CON1_synovium","synovium","Control_52W",764562
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487","ACLT1_synovium","synovium","ACLT_alone_52W",766608
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488","ACLT2_synovium","synovium","ACLT_alone_52W",774441
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489","ACLT3_synovium","synovium","ACLT_alone_52W",773405
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490","ACLT4_synovium","synovium","ACLT_alone_52W",763542
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491","CON2_synovium","synovium","Control_52W",768272
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492","ACLT5_synovium","synovium","ACLT_alone_52W",767095
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493","ACLT6_synovium","synovium","ACLT_alone_52W",759978
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140494_ACLT7_synovium_quant.sf.txt.gz","GSM7140494_ACLT7_synovium_quant.sf.txt.gz","GSM7140494","ACLT7_synovium","synovium","ACLT_alone_52W",769819
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495","CON3_synovium","synovium","Control_52W",777716
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz","GSM7140496_ACLT8_synovium_quant.sf.txt.gz","GSM7140496","ACLT8_synovium","synovium","ACLT_alone_52W",780336
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497","ACLT9_synovium","synovium","ACLT_alone_52W",762774
