"metric","value"
"project_root","E:/R/ACLsenescence2"
"quant_dir","E:/R/ACLsenescence2/data_raw/GSE228848_synovium_quant"
"gtf_file","E:/R/ACLsenescence2/reference/Sus_scrofa_Ensembl115/Sus_scrofa.Sscrofa11.1.115.gtf.gz"
"tximport_type","salmon"
"ignoreTxVersion","TRUE"
"countsFromAbundance","no"
"n_quant_files","96"
"n_unique_samples","96"
"n_tx2gene_rows","60440"
"n_gene_annotation_rows","35682"
"counts_n_genes","22438"
"counts_n_samples","96"
"abundance_n_genes","22438"
"abundance_n_samples","96"
"length_n_genes","22438"
"length_n_samples","96"
