"metric","value"
"run_status","SUCCESS"
"method_version","2026-05-16_step24B_clean_tximport_gene_level_matrix_audit_v1"
"overall_matrix_audit_pass","TRUE"
"counts_matrix_genes","22438"
"counts_matrix_samples","96"
"abundance_matrix_genes","22438"
"abundance_matrix_samples","96"
"length_matrix_genes","22438"
"length_matrix_samples","96"
"counts_vs_abundance_gene_ids_identical","TRUE"
"counts_vs_length_gene_ids_identical","TRUE"
"counts_vs_abundance_sample_columns_identical","TRUE"
"counts_vs_length_sample_columns_identical","TRUE"
"matrix_inferred_synovium_samples","48"
"matrix_inferred_cartilage_samples","48"
"mean_total_estimated_counts","13777276.977"
"min_total_estimated_counts","7108677.116"
"max_total_estimated_counts","21575315.985"
"mean_detected_genes_count_gt0","16476.521"
"min_detected_genes_count_gt0","15555"
"max_detected_genes_count_gt0","17390"
"mean_gene_level_TPM_sum","986368.266"
"min_gene_level_TPM_sum","973187.294"
"max_gene_level_TPM_sum","994784.807"
"max_effective_length_NA_n","0"
"max_effective_length_nonpositive_n","0"
"matrix_samples_matched_to_step23_inventory_by_GSM","96"
"tx2gene_match_rate_after_stripping_version_pct","99.028"
"step25v3_synovium_manifest_rows","48"
"step25v3_main_comparison_manifest_rows","24"
"output_root","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/supplement/Step24B_clean_tximport_gene_level_matrix_audit"
