"sample_id","geo_accession","label_from_sample_id","tissue_from_sample_id","inferred_group_from_sample_id","file_order_index"
"GSM7140438_CON1_cartilage","GSM7140438","CON1_cartilage","cartilage","Control_52W",1
"GSM7140439_ACLT1_cartilage","GSM7140439","ACLT1_cartilage","cartilage","ACLT_alone_52W",2
"GSM7140440_ACLT2_cartilage","GSM7140440","ACLT2_cartilage","cartilage","ACLT_alone_52W",3
"GSM7140441_ACLT3_cartilage","GSM7140441","ACLT3_cartilage","cartilage","ACLT_alone_52W",4
"GSM7140442_ACLT4_cartilage","GSM7140442","ACLT4_cartilage","cartilage","ACLT_alone_52W",5
"GSM7140443_CON2_cartilage","GSM7140443","CON2_cartilage","cartilage","Control_52W",6
"GSM7140444_ACLT5_cartilage","GSM7140444","ACLT5_cartilage","cartilage","ACLT_alone_52W",7
"GSM7140445_ACLT6_cartilage","GSM7140445","ACLT6_cartilage","cartilage","ACLT_alone_52W",8
"GSM7140446_ACLT7_cartilage","GSM7140446","ACLT7_cartilage","cartilage","ACLT_alone_52W",9
"GSM7140447_CON3_cartilage","GSM7140447","CON3_cartilage","cartilage","Control_52W",10
"GSM7140448_ACLT8_cartilage","GSM7140448","ACLT8_cartilage","cartilage","ACLT_alone_52W",11
"GSM7140449_ACLT9_cartilage","GSM7140449","ACLT9_cartilage","cartilage","ACLT_alone_52W",12
"GSM7140450_ACLT10_cartilage","GSM7140450","ACLT10_cartilage","cartilage","ACLT_alone_52W",13
"GSM7140451_ACLT11_cartilage","GSM7140451","ACLT11_cartilage","cartilage","ACLT_alone_52W",14
"GSM7140452_CON4_cartilage","GSM7140452","CON4_cartilage","cartilage","Control_52W",15
"GSM7140453_ACLT12_cartilage","GSM7140453","ACLT12_cartilage","cartilage","ACLT_alone_52W",16
"GSM7140454_CON5_cartilage","GSM7140454","CON5_cartilage","cartilage","Control_52W",17
"GSM7140455_RECON1_cartilage","GSM7140455","RECON1_cartilage","cartilage","Reconstruction_52W",18
"GSM7140456_RECON2_cartilage","GSM7140456","RECON2_cartilage","cartilage","Reconstruction_52W",19
"GSM7140457_RECON3_cartilage","GSM7140457","RECON3_cartilage","cartilage","Reconstruction_52W",20
"GSM7140458_RECON4_cartilage","GSM7140458","RECON4_cartilage","cartilage","Reconstruction_52W",21
"GSM7140459_CON6_cartilage","GSM7140459","CON6_cartilage","cartilage","Control_52W",22
"GSM7140460_RECON5_cartilage","GSM7140460","RECON5_cartilage","cartilage","Reconstruction_52W",23
"GSM7140461_RECON6_cartilage","GSM7140461","RECON6_cartilage","cartilage","Reconstruction_52W",24
"GSM7140462_RECON7_cartilage","GSM7140462","RECON7_cartilage","cartilage","Reconstruction_52W",25
"GSM7140463_CON7_cartilage","GSM7140463","CON7_cartilage","cartilage","Control_52W",26
"GSM7140464_RECON8_cartilage","GSM7140464","RECON8_cartilage","cartilage","Reconstruction_52W",27
"GSM7140465_RECON9_cartilage","GSM7140465","RECON9_cartilage","cartilage","Reconstruction_52W",28
"GSM7140466_RECON10_cartilage","GSM7140466","RECON10_cartilage","cartilage","Reconstruction_52W",29
"GSM7140467_RECON11_cartilage","GSM7140467","RECON11_cartilage","cartilage","Reconstruction_52W",30
"GSM7140468_CON8_cartilage","GSM7140468","CON8_cartilage","cartilage","Control_52W",31
"GSM7140469_RECON12_cartilage","GSM7140469","RECON12_cartilage","cartilage","Reconstruction_52W",32
"GSM7140470_CON9_cartilage","GSM7140470","CON9_cartilage","cartilage","Control_52W",33
"GSM7140471_REPAIR1_cartilage","GSM7140471","REPAIR1_cartilage","cartilage","Repair_52W",34
"GSM7140472_REPAIR2_cartilage","GSM7140472","REPAIR2_cartilage","cartilage","Repair_52W",35
"GSM7140473_REPAIR3_cartilage","GSM7140473","REPAIR3_cartilage","cartilage","Repair_52W",36
"GSM7140474_REPAIR4_cartilage","GSM7140474","REPAIR4_cartilage","cartilage","Repair_52W",37
