"metric","value"
"run_status","SUCCESS"
"method_version","2026-05-10_lock_chronic_pig_synovium_only_48_matrices_from_step24_tximport_outputs"
"all_step24_matrix_genes","22438"
"all_step24_matrix_samples","96"
"locked_synovium_matrix_genes","22438"
"locked_synovium_matrix_samples","48"
"locked_synovium_group_counts","ACLT_alone_52W 12; Control_52W 12; Reconstruction_52W 12; Repair_52W 12"
"main_comparison_matrix_genes","22438"
"main_comparison_matrix_samples","24"
"main_comparison_group_counts","ACLT_alone_52W 12; Control_52W 12"
"synovium_quant_files_found","48"
"locked_synovium_samples_with_matching_quant_file","48"
"metadata_24_rows","24"
"metadata_24_in_locked_synovium_48_matrix","24"
"metadata_24_in_main_24_matrix","24"
"counts_abundance_length_gene_id_order_identical","TRUE"
"counts_abundance_length_sample_columns_identical","TRUE"
"mean_synovium_48_total_estimated_counts","12512593.483"
"min_synovium_48_total_estimated_counts","7108677.116"
"max_synovium_48_total_estimated_counts","18669779.773"
"mean_synovium_48_detected_genes_count_gt0","16623.167"
"min_synovium_48_detected_genes_count_gt0","15555"
"max_synovium_48_detected_genes_count_gt0","17390"
"output_root","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_chronic_synovium_only_matrix_lock"
