"sample_id","geo_accession","sample_label","tissue","group","sample_number","quant_file","quant_basename","sample_label_from_quant","group_from_quant","has_matching_synovium_quant_file"
"GSM7140486_CON1_synovium","GSM7140486","CON1","synovium","Control_52W",1,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486_CON1_synovium_quant.sf.txt.gz","CON1","Control_52W",TRUE
"GSM7140491_CON2_synovium","GSM7140491","CON2","synovium","Control_52W",2,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491_CON2_synovium_quant.sf.txt.gz","CON2","Control_52W",TRUE
"GSM7140495_CON3_synovium","GSM7140495","CON3","synovium","Control_52W",3,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495_CON3_synovium_quant.sf.txt.gz","CON3","Control_52W",TRUE
"GSM7140500_CON4_synovium","GSM7140500","CON4","synovium","Control_52W",4,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz","GSM7140500_CON4_synovium_quant.sf.txt.gz","CON4","Control_52W",TRUE
"GSM7140502_CON5_synovium","GSM7140502","CON5","synovium","Control_52W",5,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz","GSM7140502_CON5_synovium_quant.sf.txt.gz","CON5","Control_52W",TRUE
"GSM7140507_CON6_synovium","GSM7140507","CON6","synovium","Control_52W",6,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz","GSM7140507_CON6_synovium_quant.sf.txt.gz","CON6","Control_52W",TRUE
"GSM7140511_CON7_synovium","GSM7140511","CON7","synovium","Control_52W",7,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz","GSM7140511_CON7_synovium_quant.sf.txt.gz","CON7","Control_52W",TRUE
"GSM7140516_CON8_synovium","GSM7140516","CON8","synovium","Control_52W",8,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz","GSM7140516_CON8_synovium_quant.sf.txt.gz","CON8","Control_52W",TRUE
"GSM7140518_CON9_synovium","GSM7140518","CON9","synovium","Control_52W",9,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz","GSM7140518_CON9_synovium_quant.sf.txt.gz","CON9","Control_52W",TRUE
"GSM7140523_CON10_synovium","GSM7140523","CON10","synovium","Control_52W",10,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz","GSM7140523_CON10_synovium_quant.sf.txt.gz","CON10","Control_52W",TRUE
"GSM7140527_CON11_synovium","GSM7140527","CON11","synovium","Control_52W",11,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz","GSM7140527_CON11_synovium_quant.sf.txt.gz","CON11","Control_52W",TRUE
"GSM7140532_CON12_synovium","GSM7140532","CON12","synovium","Control_52W",12,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140532_CON12_synovium_quant.sf.txt.gz","GSM7140532_CON12_synovium_quant.sf.txt.gz","CON12","Control_52W",TRUE
