"gene_id","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"ENSSSCG00000000002",0.316317,0.680578,1.186006,0.671478,0.155034,0.655532,1.163245,0.20243,0.528841,0.581192,0.405606,0.395195,0.818194,0.370202,0.158019,1.422699,0.689591,0.902465,0,1.110602,0.665256,0.905603,0,0.627226
"ENSSSCG00000000003",26.588923,21.764033,29.966684,24.605795,20.824274,23.942388,32.085966,29.333827,32.420986,32.882651,18.010357,32.593859,21.051666,25.689646,13.751046,23.14152,18.48819,16.108769,24.824347,20.83413,18.18767,31.696554,12.884846,18.619785
"ENSSSCG00000000005",5.930137,5.514977,5.506349,5.774402,3.163997,4.230549,4.30209,6.684276,4.373748,4.195483,3.582382,5.447458,2.604414,5.925595,2.969822,3.935748,2.825069,3.303723,4.520056,4.003631,4.764868,6.41926,3.10785,3.065077
"ENSSSCG00000000006",14.653554,8.663012,10.47936,15.625163,9.827683,12.582896,10.279302,12.999117,7.852105,7.708549,6.096451,8.938308,10.088342,12.275399,8.355616,9.017177,11.661236,8.978618,12.165674,10.638345,12.067014,11.469782,6.2907,8.350432
"ENSSSCG00000000007",10.111911,7.880591,8.140831,9.726416,4.2927,9.507579,9.945124,11.427955,6.72002,9.9973,5.586645,11.890935,6.509994,12.169572,6.14774,9.166116,10.751969,8.837896,7.437778,8.592875,5.779333,13.963833,4.312406,13.727445
"ENSSSCG00000000010",345.708274,328.745738,128.300911,289.690952,62.531397,147.370889,393.549622,179.815876,224.70926,106.177268,140.685409,131.125031,23.369833,178.517225,114.581619,34.88662,191.029418,156.49536,346.827376,92.137827,422.713903,86.085278,257.548213,102.372286
"ENSSSCG00000000014",20.501322,17.997015,24.486135,20.842444,16.903097,19.532147,15.385225,24.626341,17.676871,21.051204,20.797915,24.187947,20.712385,21.697503,19.876181,19.024613,20.298678,19.00007,17.672702,19.404403,22.774186,23.473223,13.675706,32.102233
"ENSSSCG00000000018",32.395293,33.177544,38.139259,27.861471,27.646078,34.183598,32.998645,28.784832,30.617754,30.441052,24.815666,30.346031,36.845371,34.03461,36.80608,32.129874,29.378257,32.270833,35.568138,30.820847,44.841297,32.795798,27.233686,31.711072
"ENSSSCG00000000019",49.395068,46.819144,38.836858,39.858675,54.023855,42.193741,42.409303,44.917866,39.518915,38.048861,44.801414,47.35913,32.432725,36.143581,57.770305,41.879358,40.211629,44.638386,40.434727,41.974972,46.409451,42.598511,32.587826,33.023575
"ENSSSCG00000000020",2.571806,0.683106,2.327139,0.954436,0.928145,1.70374,1.233354,2.269771,0.853057,1.84249,0.100292,1.122634,1.163205,0.771833,0.946763,1.133618,0.886579,0.630921,0.611003,1.165903,0.578702,1.664465,0.320708,0.065281
"ENSSSCG00000000021",0.199243,0,0,0,0,0.076718,0.212944,0,0.39269,0.16038,0,0.246093,0,0,0,0,0.250336,0.087148,0,0.09988,0,0.30474,0,0
"ENSSSCG00000000022",26.871345,20.155443,24.16386,22.497501,16.137841,21.248031,24.818322,21.07872,20.670391,22.081685,13.340771,21.853133,22.279062,23.416611,19.842021,17.975424,16.225852,18.771335,27.056126,22.30386,23.579463,31.076679,11.641055,21.269616
