"sample_id","geo_accession","sample_label","tissue","group","sample_number","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","tpm_sum_gene_level","genes_with_tpm_gt0","effective_length_na_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140486_CON1_synovium","GSM7140486","CON1","synovium","Control_52W",1,7108677.116,16731,16728,981863.043931,16731,0,0,2068.9815
"GSM7140491_CON2_synovium","GSM7140491","CON2","synovium","Control_52W",2,8959038.859,16672,16664,979800.471957,16672,0,0,2070.90054166667
"GSM7140495_CON3_synovium","GSM7140495","CON3","synovium","Control_52W",3,9719015.249,16993,16984,978064.348262,16993,0,0,2001.26614240395
"GSM7140500_CON4_synovium","GSM7140500","CON4","synovium","Control_52W",4,8391254.347,16672,16671,981488.074192,16672,0,0,2120.24623850432
"GSM7140502_CON5_synovium","GSM7140502","CON5","synovium","Control_52W",5,12170230.764,16538,16532,973601.740262,16538,0,0,2014.14721161888
"GSM7140507_CON6_synovium","GSM7140507","CON6","synovium","Control_52W",6,16132991.143,17390,17383,978012.259285,17390,0,0,2095.8009900274
"GSM7140511_CON7_synovium","GSM7140511","CON7","synovium","Control_52W",7,11920148.361,17215,17210,979716.821622,17215,0,0,2075.1615
"GSM7140516_CON8_synovium","GSM7140516","CON8","synovium","Control_52W",8,9996314.29,16810,16803,976774.548033,16810,0,0,2150.80078990739
"GSM7140518_CON9_synovium","GSM7140518","CON9","synovium","Control_52W",9,12285504.182,17058,17054,975982.697107,17058,0,0,2064.55098580503
"GSM7140523_CON10_synovium","GSM7140523","CON10","synovium","Control_52W",10,13966920.588,16999,16997,973436.502033,16999,0,0,2066.69266229263
"GSM7140527_CON11_synovium","GSM7140527","CON11","synovium","Control_52W",11,16354930.297,16694,16688,979477.617884,16694,0,0,2043.19005599228
"GSM7140532_CON12_synovium","GSM7140532","CON12","synovium","Control_52W",12,11603076.121,16604,16597,978679.596994,16604,0,0,2056.304
"GSM7140487_ACLT1_synovium","GSM7140487","ACLT1","synovium","ACLT_alone_52W",1,10334100.022,16660,16658,980475.263179,16660,0,0,2037.95531106996
"GSM7140488_ACLT2_synovium","GSM7140488","ACLT2","synovium","ACLT_alone_52W",2,10521456.74,16880,16877,979505.05989,16880,0,0,2062.31214592531
"GSM7140489_ACLT3_synovium","GSM7140489","ACLT3","synovium","ACLT_alone_52W",3,18669779.773,16495,16493,979341.430609,16495,0,0,2065.7685
"GSM7140490_ACLT4_synovium","GSM7140490","ACLT4","synovium","ACLT_alone_52W",4,9298836.883,16367,16362,976777.647923,16367,0,0,2087.92252978312
"GSM7140492_ACLT5_synovium","GSM7140492","ACLT5","synovium","ACLT_alone_52W",5,9066421.989,16613,16605,977392.226415,16613,0,0,2090.1855
"GSM7140493_ACLT6_synovium","GSM7140493","ACLT6","synovium","ACLT_alone_52W",6,10831988.018,16291,16289,975265.836718,16291,0,0,1959.06640140907
"GSM7140494_ACLT7_synovium","GSM7140494","ACLT7","synovium","ACLT_alone_52W",7,10627442.631,16710,16701,986966.072494,16710,0,0,2012.78023897871
"GSM7140496_ACLT8_synovium","GSM7140496","ACLT8","synovium","ACLT_alone_52W",8,12200496.595,16912,16905,978661.867805,16912,0,0,2080.26872828308
"GSM7140497_ACLT9_synovium","GSM7140497","ACLT9","synovium","ACLT_alone_52W",9,7706255.524,16517,16516,979277.1305,16517,0,0,2037.70745999056
"GSM7140498_ACLT10_synovium","GSM7140498","ACLT10","synovium","ACLT_alone_52W",10,9007486.319,16511,16511,974016.532623,16511,0,0,2017.821
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT11","synovium","ACLT_alone_52W",11,8387249.214,15741,15737,988328.28969,15741,0,0,1973.05
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT12","synovium","ACLT_alone_52W",12,10569945.072,15555,15555,982363.945739,15555,0,0,1840.09138113214
