"sample_id","geo_accession","sample_label","tissue","group","sample_number"
"GSM7140486_CON1_synovium","GSM7140486","CON1","synovium","Control_52W",1
"GSM7140491_CON2_synovium","GSM7140491","CON2","synovium","Control_52W",2
"GSM7140495_CON3_synovium","GSM7140495","CON3","synovium","Control_52W",3
"GSM7140500_CON4_synovium","GSM7140500","CON4","synovium","Control_52W",4
"GSM7140502_CON5_synovium","GSM7140502","CON5","synovium","Control_52W",5
"GSM7140507_CON6_synovium","GSM7140507","CON6","synovium","Control_52W",6
"GSM7140511_CON7_synovium","GSM7140511","CON7","synovium","Control_52W",7
"GSM7140516_CON8_synovium","GSM7140516","CON8","synovium","Control_52W",8
"GSM7140518_CON9_synovium","GSM7140518","CON9","synovium","Control_52W",9
"GSM7140523_CON10_synovium","GSM7140523","CON10","synovium","Control_52W",10
"GSM7140527_CON11_synovium","GSM7140527","CON11","synovium","Control_52W",11
"GSM7140532_CON12_synovium","GSM7140532","CON12","synovium","Control_52W",12
"GSM7140487_ACLT1_synovium","GSM7140487","ACLT1","synovium","ACLT_alone_52W",1
"GSM7140488_ACLT2_synovium","GSM7140488","ACLT2","synovium","ACLT_alone_52W",2
"GSM7140489_ACLT3_synovium","GSM7140489","ACLT3","synovium","ACLT_alone_52W",3
"GSM7140490_ACLT4_synovium","GSM7140490","ACLT4","synovium","ACLT_alone_52W",4
"GSM7140492_ACLT5_synovium","GSM7140492","ACLT5","synovium","ACLT_alone_52W",5
"GSM7140493_ACLT6_synovium","GSM7140493","ACLT6","synovium","ACLT_alone_52W",6
"GSM7140494_ACLT7_synovium","GSM7140494","ACLT7","synovium","ACLT_alone_52W",7
"GSM7140496_ACLT8_synovium","GSM7140496","ACLT8","synovium","ACLT_alone_52W",8
"GSM7140497_ACLT9_synovium","GSM7140497","ACLT9","synovium","ACLT_alone_52W",9
"GSM7140498_ACLT10_synovium","GSM7140498","ACLT10","synovium","ACLT_alone_52W",10
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT11","synovium","ACLT_alone_52W",11
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT12","synovium","ACLT_alone_52W",12
