"quant_file","quant_basename","geo_accession","sample_label","tissue","group"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140438_CON1_cartilage_quant.sf.txt.gz","GSM7140438_CON1_cartilage_quant.sf.txt.gz","GSM7140438","CON1","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140439_ACLT1_cartilage_quant.sf.txt.gz","GSM7140439_ACLT1_cartilage_quant.sf.txt.gz","GSM7140439","ACLT1","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140440_ACLT2_cartilage_quant.sf.txt.gz","GSM7140440_ACLT2_cartilage_quant.sf.txt.gz","GSM7140440","ACLT2","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140441_ACLT3_cartilage_quant.sf.txt.gz","GSM7140441_ACLT3_cartilage_quant.sf.txt.gz","GSM7140441","ACLT3","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140442_ACLT4_cartilage_quant.sf.txt.gz","GSM7140442_ACLT4_cartilage_quant.sf.txt.gz","GSM7140442","ACLT4","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140443_CON2_cartilage_quant.sf.txt.gz","GSM7140443_CON2_cartilage_quant.sf.txt.gz","GSM7140443","CON2","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140444_ACLT5_cartilage_quant.sf.txt.gz","GSM7140444_ACLT5_cartilage_quant.sf.txt.gz","GSM7140444","ACLT5","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140445_ACLT6_cartilage_quant.sf.txt.gz","GSM7140445_ACLT6_cartilage_quant.sf.txt.gz","GSM7140445","ACLT6","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140446_ACLT7_cartilage_quant.sf.txt.gz","GSM7140446_ACLT7_cartilage_quant.sf.txt.gz","GSM7140446","ACLT7","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140447_CON3_cartilage_quant.sf.txt.gz","GSM7140447_CON3_cartilage_quant.sf.txt.gz","GSM7140447","CON3","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140448_ACLT8_cartilage_quant.sf.txt.gz","GSM7140448_ACLT8_cartilage_quant.sf.txt.gz","GSM7140448","ACLT8","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140449_ACLT9_cartilage_quant.sf.txt.gz","GSM7140449_ACLT9_cartilage_quant.sf.txt.gz","GSM7140449","ACLT9","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140450_ACLT10_cartilage_quant.sf.txt.gz","GSM7140450_ACLT10_cartilage_quant.sf.txt.gz","GSM7140450","ACLT10","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140451_ACLT11_cartilage_quant.sf.txt.gz","GSM7140451_ACLT11_cartilage_quant.sf.txt.gz","GSM7140451","ACLT11","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140452_CON4_cartilage_quant.sf.txt.gz","GSM7140452_CON4_cartilage_quant.sf.txt.gz","GSM7140452","CON4","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140453_ACLT12_cartilage_quant.sf.txt.gz","GSM7140453_ACLT12_cartilage_quant.sf.txt.gz","GSM7140453","ACLT12","cartilage","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140454_CON5_cartilage_quant.sf.txt.gz","GSM7140454_CON5_cartilage_quant.sf.txt.gz","GSM7140454","CON5","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140455_RECON1_cartilage_quant.sf.txt.gz","GSM7140455_RECON1_cartilage_quant.sf.txt.gz","GSM7140455","RECON1","cartilage","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140456_RECON2_cartilage_quant.sf.txt.gz","GSM7140456_RECON2_cartilage_quant.sf.txt.gz","GSM7140456","RECON2","cartilage","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140457_RECON3_cartilage_quant.sf.txt.gz","GSM7140457_RECON3_cartilage_quant.sf.txt.gz","GSM7140457","RECON3","cartilage","Reconstruction_52W"
