"sample_id","group","raw_estimated_count_sum","filtered_estimated_count_sum","norm_factor_TMM","effective_library_size","detected_genes_count_gt0_raw","detected_genes_count_gt0_filtered"
"GSM7140486_CON1_synovium","Control_52W",7108677.116,7095768.156,1.11011538620816,7877121.40694148,16731,14385
"GSM7140491_CON2_synovium","Control_52W",8959038.859,8947879.289,1.03989873027603,9304888.31129425,16672,14382
"GSM7140495_CON3_synovium","Control_52W",9719015.249,9703856.99,1.09962719705887,10670625.0625738,16993,14385
"GSM7140500_CON4_synovium","Control_52W",8391254.347,8379765.749,1.07197545753446,8982903.2228159,16672,14388
"GSM7140502_CON5_synovium","Control_52W",12170230.764,12159517.026,0.960468956450736,11678838.6289072,16538,14384
"GSM7140507_CON6_synovium","Control_52W",16132991.143,16100386.925,1.11945562366406,18023668.6863586,17390,14398
"GSM7140511_CON7_synovium","Control_52W",11920148.361,11902506.932,1.11071404424305,13220281.6110726,17215,14394
"GSM7140516_CON8_synovium","Control_52W",9996314.29,9983674.542,1.12621616817033,11243775.686951,16810,14387
"GSM7140518_CON9_synovium","Control_52W",12285504.182,12268105.924,1.09682806658582,13456002.901291,17058,14389
"GSM7140523_CON10_synovium","Control_52W",13966920.588,13947969.715,1.0776924989292,15031622.3371472,16999,14396
"GSM7140527_CON11_synovium","Control_52W",16354930.297,16340715.967,0.8937061917845,14603799.0378997,16694,14379
"GSM7140532_CON12_synovium","Control_52W",11603076.121,11587086.754,1.0909146283773,12640522.4402154,16604,14368
"GSM7140487_ACLT1_synovium","ACLT_alone_52W",10334100.022,10309179.328,0.885019379809513,9123823.49521161,16660,14376
"GSM7140488_ACLT2_synovium","ACLT_alone_52W",10521456.74,10495846.125,0.995560466237692,10449249.4617641,16880,14391
"GSM7140489_ACLT3_synovium","ACLT_alone_52W",18669779.773,18653369.506,0.927103838071794,17293610.461984,16495,14379
"GSM7140490_ACLT4_synovium","ACLT_alone_52W",9298836.883,9289873.636,0.994354753653303,9237430.0107951,16367,14363
"GSM7140492_ACLT5_synovium","ACLT_alone_52W",9066421.989,9055576.117,0.998596338297806,9042865.15161326,16613,14386
"GSM7140493_ACLT6_synovium","ACLT_alone_52W",10831988.018,10822557.97,0.90576355295339,9802678.55895123,16291,14361
"GSM7140494_ACLT7_synovium","ACLT_alone_52W",10627442.631,10613490.318,0.92359093646829,9802523.46199875,16710,14381
"GSM7140496_ACLT8_synovium","ACLT_alone_52W",12200496.595,12169089.39,1.03043697715201,12539479.6857242,16912,14393
"GSM7140497_ACLT9_synovium","ACLT_alone_52W",7706255.524,7697082.753,1.01032886582837,7776584.88802562,16517,14384
"GSM7140498_ACLT10_synovium","ACLT_alone_52W",9007486.319,8996312.532,1.03816688630074,9339673.76953479,16511,14373
"GSM7140499_ACLT11_synovium","ACLT_alone_52W",8387249.214,8380296.069,0.793789702955004,6652192.7272865,15741,14293
"GSM7140501_ACLT12_synovium","ACLT_alone_52W",10569945.072,10509802.878,0.81441520424882,8559343.25750121,15555,14248
