"metric","value"
"method_version","2026-05-16_chronic_step3_current78_TMM_aligned_singscore_sensitivity_v1"
"signature_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_signature_gene_table.csv"
"chronic_main_manifest_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_manifest.csv"
"chronic_main_counts_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv"
"updated_TMM_aligned_step2_scores_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step2_current78_signature_score_TMM_aligned/chronic_step2_current78_TMM_aligned_signature_scores_by_sample.csv"
"n_signature_genes_used","75"
"n_up_signature_genes","65"
"n_down_signature_genes","10"
"n_genomewide_genes_ranked","22438"
"n_samples","24"
"n_Control_52W","12"
"n_ACLT_alone_52W","12"
"singscore_scale","genome-wide sample-wise ranks from TMM-normalized logCPM; centerScore=TRUE"
"filterByExpr_before_singscore","FALSE"
"TMM_normalization","edgeR::calcNormFactors(method = 'TMM'); edgeR::cpm(log = TRUE, prior.count = 1, normalized.lib.sizes = TRUE)"
"estimated_counts_rounded","FALSE"
"directional_singscore_definition","simpleScore(rankData, upSet=65 genes, downSet=10 genes, centerScore=TRUE, knownDirection=TRUE)"
"down_singscore_reorientation","down genes scored as upSet to obtain raw score, then multiplied by -1"
"group_test","two-sided Wilcoxon rank-sum test for ACLT_alone_52W vs Control_52W; exact = FALSE"
"directional_singscore_median_Control_52W","0.10422263662957"
"directional_singscore_median_ACLT_alone_52W","0.144578150066651"
"directional_singscore_median_difference_case_minus_control","0.0403555134370819"
"directional_singscore_wilcox_p_value","0.00725995498819057"
"directional_singscore_BH_FDR_across_all_singscore_comparisons","0.0145199099763811"
"TMM_aligned_directional_zscore_vs_singscore_spearman","0.732173913043478"
"main_singscore_table","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step3_current78_singscore_sensitivity_TMM_aligned/chronic_step3_current78_TMM_aligned_singscore_scores_by_sample.csv"
"group_comparison_table","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step3_current78_singscore_sensitivity_TMM_aligned/chronic_step3_current78_TMM_aligned_singscore_group_comparisons.csv"
"zscore_singscore_correlation_table","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step3_current78_singscore_sensitivity_TMM_aligned/chronic_step3_current78_TMM_aligned_singscore_vs_zscore_correlation.csv"
"figure_png","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Supplementary_chronic_current78_singscore_TMM_aligned/Supplementary_chronic_current78_TMM_aligned_singscore_scores_mouse_style.png"
"figure_pdf","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Supplementary_chronic_current78_singscore_TMM_aligned/Supplementary_chronic_current78_TMM_aligned_singscore_scores_mouse_style.pdf"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step3_current78_singscore_sensitivity_TMM_aligned"
