"metric","value"
"method_version","2026-05-16_chronic_step5_TMM_aligned_core_heatmap_pig_early_style_v1"
"core_gene_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_pig_core_ortholog_gene_table.csv"
"manifest_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_manifest.csv"
"count_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv"
"n_fixed_early_defined_core_genes","24"
"n_core_genes_detected_in_chronic_count_matrix","24"
"n_samples","24"
"n_Control_52W","12"
"n_ACLT_alone_52W","12"
"normalization_scope","Full chronic main-comparison gene-level estimated count matrix across the 24 plotted samples; 24 core genes are extracted after TMM-normalized logCPM calculation"
"normalization_method","edgeR::DGEList(full count matrix) -> edgeR::calcNormFactors(method = 'TMM') -> edgeR::cpm(log = TRUE, prior.count = 1, normalized.lib.sizes = TRUE)"
"filterByExpr_before_heatmap","FALSE"
"estimated_counts_rounded","FALSE"
"heatmap_color_scale","rev(RColorBrewer::RdYlBu): deep blue -> lemon yellow -> red"
"heatmap_value_source_data","unclipped row-wise z-score across 24 chronic samples"
"heatmap_value_plotted","row-wise z-score clipped to [-2, 2] for pheatmap plotting"
"zscore_clip_for_plot","[-2, 2]"
"display_label_priority","pig_symbol > human_gene > pig_ensg, matching pig early Figure4D visual convention"
"row_clustering","TRUE; euclidean distance, complete linkage"
"column_clustering","FALSE"
"row_dendrogram_treeheight","55"
"column_order_rule","Control_52W samples first, then ACLT_alone_52W samples"
"pdf_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5C_current78_main24_core_heatmap_TMM_aligned_pig_early_style/Figure5C_current78_main24_core_heatmap_TMM_aligned_pig_early_style.pdf"
"png_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5C_current78_main24_core_heatmap_TMM_aligned_pig_early_style/Figure5C_current78_main24_core_heatmap_TMM_aligned_pig_early_style.png"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step5_current78_core_heatmap_TMM_aligned_pig_early_style"
"note","Style-aligned chronic Step5: TMM normalization is estimated from the full chronic main-comparison count matrix before extracting fixed 24 core genes; pig early Figure4D heatmap style is used."
