"sample_id","group_raw","group"
"GSM7140486_CON1_synovium","Control_52W","Control_52W"
"GSM7140491_CON2_synovium","Control_52W","Control_52W"
"GSM7140495_CON3_synovium","Control_52W","Control_52W"
"GSM7140500_CON4_synovium","Control_52W","Control_52W"
"GSM7140502_CON5_synovium","Control_52W","Control_52W"
"GSM7140507_CON6_synovium","Control_52W","Control_52W"
"GSM7140511_CON7_synovium","Control_52W","Control_52W"
"GSM7140516_CON8_synovium","Control_52W","Control_52W"
"GSM7140518_CON9_synovium","Control_52W","Control_52W"
"GSM7140523_CON10_synovium","Control_52W","Control_52W"
"GSM7140527_CON11_synovium","Control_52W","Control_52W"
"GSM7140532_CON12_synovium","Control_52W","Control_52W"
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","ACLT_alone_52W"
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","ACLT_alone_52W"
