"sample_id","geo_accession","tissue_inferred","group_inferred","filename","file","file_exists","size_bytes","size_mb"
"GSM7140438_CON1_cartilage","GSM7140438","cartilage","Control_52W","GSM7140438_CON1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140438_CON1_cartilage_quant.sf.txt.gz",TRUE,760040,0.725
"GSM7140439_ACLT1_cartilage","GSM7140439","cartilage","ACLT_alone_52W","GSM7140439_ACLT1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140439_ACLT1_cartilage_quant.sf.txt.gz",TRUE,772930,0.737
"GSM7140440_ACLT2_cartilage","GSM7140440","cartilage","ACLT_alone_52W","GSM7140440_ACLT2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140440_ACLT2_cartilage_quant.sf.txt.gz",TRUE,762087,0.727
"GSM7140441_ACLT3_cartilage","GSM7140441","cartilage","ACLT_alone_52W","GSM7140441_ACLT3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140441_ACLT3_cartilage_quant.sf.txt.gz",TRUE,763626,0.728
"GSM7140442_ACLT4_cartilage","GSM7140442","cartilage","ACLT_alone_52W","GSM7140442_ACLT4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140442_ACLT4_cartilage_quant.sf.txt.gz",TRUE,759459,0.724
"GSM7140443_CON2_cartilage","GSM7140443","cartilage","Control_52W","GSM7140443_CON2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140443_CON2_cartilage_quant.sf.txt.gz",TRUE,746448,0.712
"GSM7140444_ACLT5_cartilage","GSM7140444","cartilage","ACLT_alone_52W","GSM7140444_ACLT5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140444_ACLT5_cartilage_quant.sf.txt.gz",TRUE,752655,0.718
"GSM7140445_ACLT6_cartilage","GSM7140445","cartilage","ACLT_alone_52W","GSM7140445_ACLT6_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140445_ACLT6_cartilage_quant.sf.txt.gz",TRUE,754661,0.72
"GSM7140446_ACLT7_cartilage","GSM7140446","cartilage","ACLT_alone_52W","GSM7140446_ACLT7_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140446_ACLT7_cartilage_quant.sf.txt.gz",TRUE,757173,0.722
"GSM7140447_CON3_cartilage","GSM7140447","cartilage","Control_52W","GSM7140447_CON3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140447_CON3_cartilage_quant.sf.txt.gz",TRUE,767281,0.732
"GSM7140448_ACLT8_cartilage","GSM7140448","cartilage","ACLT_alone_52W","GSM7140448_ACLT8_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140448_ACLT8_cartilage_quant.sf.txt.gz",TRUE,764046,0.729
"GSM7140449_ACLT9_cartilage","GSM7140449","cartilage","ACLT_alone_52W","GSM7140449_ACLT9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140449_ACLT9_cartilage_quant.sf.txt.gz",TRUE,780003,0.744
"GSM7140450_ACLT10_cartilage","GSM7140450","cartilage","ACLT_alone_52W","GSM7140450_ACLT10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140450_ACLT10_cartilage_quant.sf.txt.gz",TRUE,763435,0.728
"GSM7140451_ACLT11_cartilage","GSM7140451","cartilage","ACLT_alone_52W","GSM7140451_ACLT11_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140451_ACLT11_cartilage_quant.sf.txt.gz",TRUE,763225,0.728
"GSM7140452_CON4_cartilage","GSM7140452","cartilage","Control_52W","GSM7140452_CON4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140452_CON4_cartilage_quant.sf.txt.gz",TRUE,766881,0.731
"GSM7140453_ACLT12_cartilage","GSM7140453","cartilage","ACLT_alone_52W","GSM7140453_ACLT12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140453_ACLT12_cartilage_quant.sf.txt.gz",TRUE,749279,0.715
"GSM7140454_CON5_cartilage","GSM7140454","cartilage","Control_52W","GSM7140454_CON5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140454_CON5_cartilage_quant.sf.txt.gz",TRUE,768484,0.733
"GSM7140455_RECON1_cartilage","GSM7140455","cartilage","Reconstruction_52W","GSM7140455_RECON1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140455_RECON1_cartilage_quant.sf.txt.gz",TRUE,761096,0.726
"GSM7140456_RECON2_cartilage","GSM7140456","cartilage","Reconstruction_52W","GSM7140456_RECON2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140456_RECON2_cartilage_quant.sf.txt.gz",TRUE,745511,0.711
"GSM7140457_RECON3_cartilage","GSM7140457","cartilage","Reconstruction_52W","GSM7140457_RECON3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140457_RECON3_cartilage_quant.sf.txt.gz",TRUE,769489,0.734
"GSM7140458_RECON4_cartilage","GSM7140458","cartilage","Reconstruction_52W","GSM7140458_RECON4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140458_RECON4_cartilage_quant.sf.txt.gz",TRUE,767391,0.732
"GSM7140459_CON6_cartilage","GSM7140459","cartilage","Control_52W","GSM7140459_CON6_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140459_CON6_cartilage_quant.sf.txt.gz",TRUE,760085,0.725
"GSM7140460_RECON5_cartilage","GSM7140460","cartilage","Reconstruction_52W","GSM7140460_RECON5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140460_RECON5_cartilage_quant.sf.txt.gz",TRUE,760463,0.725
"GSM7140461_RECON6_cartilage","GSM7140461","cartilage","Reconstruction_52W","GSM7140461_RECON6_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140461_RECON6_cartilage_quant.sf.txt.gz",TRUE,755453,0.72
"GSM7140462_RECON7_cartilage","GSM7140462","cartilage","Reconstruction_52W","GSM7140462_RECON7_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140462_RECON7_cartilage_quant.sf.txt.gz",TRUE,766181,0.731
"GSM7140463_CON7_cartilage","GSM7140463","cartilage","Control_52W","GSM7140463_CON7_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140463_CON7_cartilage_quant.sf.txt.gz",TRUE,763910,0.729
"GSM7140464_RECON8_cartilage","GSM7140464","cartilage","Reconstruction_52W","GSM7140464_RECON8_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140464_RECON8_cartilage_quant.sf.txt.gz",TRUE,759101,0.724
"GSM7140465_RECON9_cartilage","GSM7140465","cartilage","Reconstruction_52W","GSM7140465_RECON9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140465_RECON9_cartilage_quant.sf.txt.gz",TRUE,759024,0.724
"GSM7140466_RECON10_cartilage","GSM7140466","cartilage","Reconstruction_52W","GSM7140466_RECON10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140466_RECON10_cartilage_quant.sf.txt.gz",TRUE,766998,0.731
"GSM7140467_RECON11_cartilage","GSM7140467","cartilage","Reconstruction_52W","GSM7140467_RECON11_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140467_RECON11_cartilage_quant.sf.txt.gz",TRUE,769494,0.734
"GSM7140468_CON8_cartilage","GSM7140468","cartilage","Control_52W","GSM7140468_CON8_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140468_CON8_cartilage_quant.sf.txt.gz",TRUE,760535,0.725
"GSM7140469_RECON12_cartilage","GSM7140469","cartilage","Reconstruction_52W","GSM7140469_RECON12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140469_RECON12_cartilage_quant.sf.txt.gz",TRUE,757534,0.722
"GSM7140470_CON9_cartilage","GSM7140470","cartilage","Control_52W","GSM7140470_CON9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140470_CON9_cartilage_quant.sf.txt.gz",TRUE,752725,0.718
"GSM7140471_REPAIR1_cartilage","GSM7140471","cartilage","Repair_52W","GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz",TRUE,765915,0.73
"GSM7140472_REPAIR2_cartilage","GSM7140472","cartilage","Repair_52W","GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz",TRUE,762499,0.727
"GSM7140473_REPAIR3_cartilage","GSM7140473","cartilage","Repair_52W","GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz",TRUE,756832,0.722
"GSM7140474_REPAIR4_cartilage","GSM7140474","cartilage","Repair_52W","GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz",TRUE,754228,0.719
"GSM7140475_CON10_cartilage","GSM7140475","cartilage","Control_52W","GSM7140475_CON10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140475_CON10_cartilage_quant.sf.txt.gz",TRUE,755897,0.721
"GSM7140476_REPAIR5_cartilage","GSM7140476","cartilage","Repair_52W","GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz",TRUE,751253,0.716
"GSM7140477_REPAIR6_cartilage","GSM7140477","cartilage","Repair_52W","GSM7140477_REPAIR6_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140477_REPAIR6_cartilage_quant.sf.txt.gz",TRUE,756170,0.721
"GSM7140478_REPAIR7_cartilage","GSM7140478","cartilage","Repair_52W","GSM7140478_REPAIR7_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140478_REPAIR7_cartilage_quant.sf.txt.gz",TRUE,776504,0.741
"GSM7140479_CON11_cartilage","GSM7140479","cartilage","Control_52W","GSM7140479_CON11_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140479_CON11_cartilage_quant.sf.txt.gz",TRUE,759500,0.724
"GSM7140480_REPAIR8_cartilage","GSM7140480","cartilage","Repair_52W","GSM7140480_REPAIR8_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140480_REPAIR8_cartilage_quant.sf.txt.gz",TRUE,763716,0.728
"GSM7140481_REPAIR9_cartilage","GSM7140481","cartilage","Repair_52W","GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz",TRUE,755040,0.72
"GSM7140482_REPAIR10_cartilage","GSM7140482","cartilage","Repair_52W","GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz",TRUE,759114,0.724
"GSM7140483_REPAIR11_cartilage","GSM7140483","cartilage","Repair_52W","GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz",TRUE,761780,0.726
"GSM7140484_CON12_cartilage","GSM7140484","cartilage","Control_52W","GSM7140484_CON12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140484_CON12_cartilage_quant.sf.txt.gz",TRUE,766326,0.731
"GSM7140485_REPAIR12_cartilage","GSM7140485","cartilage","Repair_52W","GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz",TRUE,749637,0.715
"GSM7140486_CON1_synovium","GSM7140486","synovium","Control_52W","GSM7140486_CON1_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz",TRUE,764562,0.729
"GSM7140487_ACLT1_synovium","GSM7140487","synovium","ACLT_alone_52W","GSM7140487_ACLT1_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140487_ACLT1_synovium_quant.sf.txt.gz",TRUE,766608,0.731
"GSM7140488_ACLT2_synovium","GSM7140488","synovium","ACLT_alone_52W","GSM7140488_ACLT2_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140488_ACLT2_synovium_quant.sf.txt.gz",TRUE,774441,0.739
"GSM7140489_ACLT3_synovium","GSM7140489","synovium","ACLT_alone_52W","GSM7140489_ACLT3_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140489_ACLT3_synovium_quant.sf.txt.gz",TRUE,773405,0.738
"GSM7140490_ACLT4_synovium","GSM7140490","synovium","ACLT_alone_52W","GSM7140490_ACLT4_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140490_ACLT4_synovium_quant.sf.txt.gz",TRUE,763542,0.728
"GSM7140491_CON2_synovium","GSM7140491","synovium","Control_52W","GSM7140491_CON2_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz",TRUE,768272,0.733
"GSM7140492_ACLT5_synovium","GSM7140492","synovium","ACLT_alone_52W","GSM7140492_ACLT5_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz",TRUE,767095,0.732
