"metric","value"
"quant_dir","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant"
"n_quant_sf_like_files_found","96"
"n_readable_files","96"
"n_files_with_all_salmon_standard_columns","96"
"n_files_with_expected_transcript_count_46295","96"
"n_files_with_TPM_sum_close_to_1000000","96"
"unique_transcript_count_values","46295"
"TPM_sum_min","999999.999867"
"TPM_sum_max","1000000.00015"
"NumReads_sum_min","7483048.956"
"NumReads_sum_max","21937198.002"
"n_synovium_files_inferred","48"
"n_cartilage_files_inferred","48"
"n_unknown_tissue_files_inferred","0"
"n_Control_52W_files_inferred","24"
"n_ACLT_alone_52W_files_inferred","24"
"n_Reconstruction_52W_files_inferred","24"
"n_Repair_52W_files_inferred","24"
"overall_qc_pass","TRUE"
