"gene_id","GSM7140438_CON1_cartilage","GSM7140439_ACLT1_cartilage","GSM7140440_ACLT2_cartilage","GSM7140441_ACLT3_cartilage","GSM7140442_ACLT4_cartilage","GSM7140443_CON2_cartilage","GSM7140444_ACLT5_cartilage","GSM7140445_ACLT6_cartilage","GSM7140446_ACLT7_cartilage","GSM7140447_CON3_cartilage","GSM7140448_ACLT8_cartilage","GSM7140449_ACLT9_cartilage","GSM7140450_ACLT10_cartilage","GSM7140451_ACLT11_cartilage","GSM7140452_CON4_cartilage","GSM7140453_ACLT12_cartilage","GSM7140454_CON5_cartilage","GSM7140455_RECON1_cartilage","GSM7140456_RECON2_cartilage","GSM7140457_RECON3_cartilage","GSM7140458_RECON4_cartilage","GSM7140459_CON6_cartilage","GSM7140460_RECON5_cartilage","GSM7140461_RECON6_cartilage","GSM7140462_RECON7_cartilage","GSM7140463_CON7_cartilage","GSM7140464_RECON8_cartilage","GSM7140465_RECON9_cartilage","GSM7140466_RECON10_cartilage","GSM7140467_RECON11_cartilage","GSM7140468_CON8_cartilage","GSM7140469_RECON12_cartilage","GSM7140470_CON9_cartilage","GSM7140471_REPAIR1_cartilage","GSM7140472_REPAIR2_cartilage","GSM7140473_REPAIR3_cartilage","GSM7140474_REPAIR4_cartilage","GSM7140475_CON10_cartilage","GSM7140476_REPAIR5_cartilage","GSM7140477_REPAIR6_cartilage","GSM7140478_REPAIR7_cartilage","GSM7140479_CON11_cartilage","GSM7140480_REPAIR8_cartilage","GSM7140481_REPAIR9_cartilage","GSM7140482_REPAIR10_cartilage","GSM7140483_REPAIR11_cartilage","GSM7140484_CON12_cartilage","GSM7140485_REPAIR12_cartilage","GSM7140486_CON1_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140491_CON2_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140495_CON3_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140500_CON4_synovium","GSM7140501_ACLT12_synovium","GSM7140502_CON5_synovium","GSM7140503_RECON1_synovium","GSM7140504_RECON2_synovium","GSM7140505_RECON3_synovium","GSM7140506_RECON4_synovium","GSM7140507_CON6_synovium","GSM7140508_RECON5_synovium","GSM7140509_RECON6_synovium","GSM7140510_RECON7_synovium","GSM7140511_CON7_synovium","GSM7140512_RECON8_synovium","GSM7140513_RECON9_synovium","GSM7140514_RECON10_synovium","GSM7140515_RECON11_synovium","GSM7140516_CON8_synovium","GSM7140517_RECON12_synovium","GSM7140518_CON9_synovium","GSM7140519_REPAIR1_synovium","GSM7140520_REPAIR2_synovium","GSM7140521_REPAIR3_synovium","GSM7140522_REPAIR4_synovium","GSM7140523_CON10_synovium","GSM7140524_REPAIR5_synovium","GSM7140525_REPAIR6_synovium","GSM7140526_REPAIR7_synovium","GSM7140527_CON11_synovium","GSM7140528_REPAIR8_synovium","GSM7140529_REPAIR9_synovium","GSM7140530_REPAIR10_synovium","GSM7140531_REPAIR11_synovium","GSM7140532_CON12_synovium","GSM7140533_REPAIR12_synovium"
"ENSSSCG00000000002",0.460818,1.099507,0.785008,1.978458,1.548513,1.000155,0.861121,0.078534,0.436824,0.612703,1.263515,0.907586,2.094553,0.423921,0.803935,1.784321,0.462828,1.901259,0.810033,0.647465,1.360146,1.198161,1.417105,0.559598,0.901706,0.675365,1.351508,1.435026,0.715803,0.712074,1.116891,1.156016,0.452431,1.033631,0.647929,1.092441,1.005141,0.273707,0.620087,0.519047,1.20154,2.125416,1.560951,0.150477,0.923242,0.840283,0.267568,0.755484,0.316317,0.818194,0.370202,0.158019,1.422699,0.680578,0.689591,0.902465,0,1.186006,1.110602,0.665256,0.905603,0,0.671478,0.627226,0.155034,0.555855,0.733785,0.183889,0.776489,0.655532,0.298969,0.113219,0.355167,1.163245,1.115621,0.46641,0.767349,0.734082,0.20243,1.997501,0.528841,0.7939,0.824237,0.730687,0.789163,0.581192,0.169787,0.373039,1.38114,0.405606,0.352716,0.273855,1.719597,1.649476,0.395195,0.154344
"ENSSSCG00000000003",17.384705,20.536029,24.62322,20.265061,24.127784,25.615772,17.074522,18.543672,21.80364,17.745112,21.293496,19.980143,24.375644,15.213457,15.965842,16.32172,13.259652,20.954612,15.960994,20.330863,24.972468,25.017582,23.356214,13.502968,19.954644,20.297891,16.652274,21.317261,18.116601,21.143451,22.401154,26.32919,16.321709,19.891979,13.339664,23.933741,15.341608,21.550698,19.353283,13.806373,17.0797,20.155281,18.174965,18.764288,19.136484,17.173519,12.537755,14.915979,26.588923,21.051666,25.689646,13.751046,23.14152,21.764033,18.48819,16.108769,24.824347,29.966684,20.83413,18.18767,31.696554,12.884846,24.605795,18.619785,20.824274,21.88388,25.859213,21.317481,25.044602,23.942388,15.412763,14.119112,15.950113,32.085966,24.322322,23.095728,24.322163,27.460161,29.333827,27.897253,32.420986,27.126016,20.006515,24.703167,15.765691,32.882651,27.002463,16.791186,29.51474,18.010357,21.798809,22.449164,25.136394,21.778131,32.593859,16.98893
"ENSSSCG00000000005",3.060115,4.288421,4.779652,2.051102,4.76887,2.988255,4.541865,2.549702,4.424583,5.020607,5.282695,3.904083,4.481395,2.566207,5.038267,4.144947,3.367073,4.10436,4.125589,4.935598,5.980292,5.973765,3.908739,4.103881,4.290745,3.683301,3.959462,4.197607,3.64317,5.088385,4.388673,6.011604,3.17975,4.233091,3.491055,3.845477,3.927748,3.86761,2.937289,1.88597,3.982995,4.932774,2.373463,4.982156,3.073499,3.290774,3.223204,2.594245,5.930137,2.604414,5.925595,2.969822,3.935748,5.514977,2.825069,3.303723,4.520056,5.506349,4.003631,4.764868,6.41926,3.10785,5.774402,3.065077,3.163997,5.223208,4.350442,4.361577,5.822991,4.230549,1.817118,7.28988,3.477497,4.30209,4.371467,2.984715,3.750687,5.022989,6.684276,4.030424,4.373748,3.85017,6.13131,2.891827,2.991629,4.195483,5.72959,2.528786,7.282605,3.582382,3.110532,3.926026,3.212003,4.215317,5.447458,3.690296
"ENSSSCG00000000006",5.686218,4.808454,4.921151,4.700846,4.695773,6.820787,5.892973,5.516936,5.212929,4.937853,7.495428,6.78278,5.660229,4.430557,6.062823,4.71093,4.155525,3.984215,3.410626,4.028518,4.709994,8.678521,7.224642,4.935174,6.188462,4.191043,4.444139,6.440588,6.740928,7.242272,6.585379,5.935936,3.937415,4.392435,5.101647,5.091041,4.149414,7.008655,5.020296,3.626976,4.025144,7.106041,4.480385,4.073479,5.235132,5.920864,4.6282,6.202301,14.653554,10.088342,12.275399,8.355616,9.017177,8.663012,11.661236,8.978618,12.165674,10.47936,10.638345,12.067014,11.469782,6.2907,15.625163,8.350432,9.827683,10.451813,11.450895,10.503929,9.497455,12.582896,5.195835,12.100021,8.124145,10.279302,7.527774,9.078978,7.014574,13.965089,12.999117,7.83137,7.852105,9.335182,8.017298,10.659099,6.447729,7.708549,10.743495,4.396871,9.6195,6.096451,9.126292,9.099691,6.699162,9.678505,8.938308,6.419399
"ENSSSCG00000000007",5.916818,7.722686,7.262579,6.993721,5.966537,6.615719,6.651342,7.531362,7.029131,7.88162,11.651379,8.692157,11.898436,6.441874,7.505869,9.856589,7.77181,7.12152,4.634592,8.683308,7.343375,8.289395,7.202955,6.760369,8.673169,7.124568,6.187166,9.484988,7.358277,8.503251,10.288622,6.966884,5.769006,7.106292,9.89339,10.394987,5.564422,6.848542,6.752428,5.211302,5.701608,8.840825,6.867338,4.715468,7.393733,6.688306,4.544557,5.979324,10.111911,6.509994,12.169572,6.14774,9.166116,7.880591,10.751969,8.837896,7.437778,8.140831,8.592875,5.779333,13.963833,4.312406,9.726416,13.727445,4.2927,10.347022,7.495787,9.875589,9.682638,9.507579,7.450176,7.917936,7.025539,9.945124,9.378436,9.894806,5.621247,6.651469,11.427955,4.796201,6.72002,7.050508,9.45688,8.08783,6.792873,9.9973,8.119378,9.136576,8.503242,5.586645,8.782711,5.691262,9.079492,8.820417,11.890935,9.253272
"ENSSSCG00000000010",383.70833,256.044621,326.910511,388.17644,263.78952,642.587627,455.594967,403.556528,441.706065,332.566758,398.682761,265.608221,537.456956,387.548881,592.190411,403.908293,282.657568,290.694262,257.166216,331.933518,376.579704,526.617021,415.555786,362.918709,283.529245,427.837156,244.20066,352.118125,403.271685,520.712169,573.862187,274.198764,352.413876,278.758826,377.428765,262.526777,360.511248,498.037339,489.408298,394.23179,242.023748,385.014104,315.078181,396.79236,232.556676,417.673051,413.091497,475.562958,345.708274,23.369833,178.517225,114.581619,34.88662,328.745738,191.029418,156.49536,346.827376,128.300911,92.137827,422.713903,86.085278,257.548213,289.690952,102.372286,62.531397,266.203423,114.159668,65.095607,100.825504,147.370889,101.886844,132.830258,98.089018,393.549622,191.637689,73.419127,138.70916,88.214261,179.815876,262.305454,224.70926,70.13828,93.685406,69.426586,68.993968,106.177268,567.4173,136.061068,541.714218,140.685409,142.85704,110.766375,16.306239,121.892302,131.125031,69.600717
"ENSSSCG00000000014",16.484459,17.877312,20.578025,18.409875,20.003146,16.074184,18.630825,21.627445,18.807404,19.320822,20.112218,18.191246,20.833914,19.094168,19.708333,21.553149,18.40814,21.750048,14.926428,16.502293,19.266912,18.552116,15.833996,15.195806,16.455843,18.863795,20.296619,19.177859,16.729167,21.238945,17.31588,16.641133,15.761748,15.705281,20.367273,14.740595,19.00179,17.072012,21.270382,18.069203,20.551748,19.938178,18.37647,18.248168,18.297389,17.780727,14.856737,11.540136,20.501322,20.712385,21.697503,19.876181,19.024613,17.997015,20.298678,19.00007,17.672702,24.486135,19.404403,22.774186,23.473223,13.675706,20.842444,32.102233,16.903097,19.202545,22.645217,19.724637,18.418539,19.532147,17.56045,15.726398,11.02346,15.385225,22.49279,24.187904,13.944523,18.56025,24.626341,17.191948,17.676871,25.437342,15.906041,22.451026,21.549608,21.051204,16.647056,19.070314,21.136276,20.797915,21.172528,18.574837,20.012174,19.154907,24.187947,14.585927
"ENSSSCG00000000018",4.293437,9.836572,6.168817,4.194481,10.63289,3.315838,4.02683,7.898097,4.603071,5.522918,3.942343,9.669196,3.026538,5.294998,2.937351,5.151529,7.061109,7.771008,6.841188,7.365904,5.048474,3.763522,4.51429,5.477151,17.918984,3.226786,12.854923,5.118934,9.836775,3.079646,3.735413,5.229632,4.520713,6.568961,3.068929,4.943612,6.155663,3.888603,2.781538,5.628162,9.915523,6.687657,6.324173,3.460377,4.115294,6.153658,3.321401,2.73775,32.395293,36.845371,34.03461,36.80608,32.129874,33.177544,29.378257,32.270833,35.568138,38.139259,30.820847,44.841297,32.795798,27.233686,27.861471,31.711072,27.646078,37.674741,37.372865,40.829138,42.112194,34.183598,32.332824,36.676703,25.30353,32.998645,36.44217,42.237097,32.787071,33.486101,28.784832,26.692497,30.617754,37.295303,33.812096,37.09549,31.354899,30.441052,28.509061,35.121912,32.957538,24.815666,30.969585,29.052284,42.479663,30.13017,30.346031,29.035755
"ENSSSCG00000000019",36.021535,35.970008,38.13198,40.867278,42.007026,31.598426,33.364844,41.840226,33.33056,34.239005,28.303298,38.268527,38.4574,33.271911,37.788017,43.458057,34.458087,39.992795,31.668577,39.145239,33.557848,33.773766,33.165193,33.600089,39.035101,38.347196,39.254017,41.151336,34.461001,33.957959,30.366056,28.533592,36.703849,30.014912,38.506468,28.313685,35.681832,36.171435,39.188568,35.995655,35.575466,34.950384,34.222944,33.6861,36.317154,33.595646,35.657278,29.290753,49.395068,32.432725,36.143581,57.770305,41.879358,46.819144,40.211629,44.638386,40.434727,38.836858,41.974972,46.409451,42.598511,32.587826,39.858675,33.023575,54.023855,38.665249,44.437213,33.74598,40.000359,42.193741,48.443264,37.664201,41.307095,42.409303,39.668366,44.664472,47.890948,42.156436,44.917866,33.514981,39.518915,40.393763,35.752637,35.699447,42.488999,38.048861,40.213736,46.237706,40.702174,44.801414,40.933745,47.522193,48.318652,40.56854,47.35913,44.13723
"ENSSSCG00000000020",1.069308,1.549581,1.167813,1.797494,1.533256,1.185978,1.574962,0.965332,2.20713,1.233214,2.002266,1.034019,1.480313,0.930212,1.142494,1.830978,1.413613,0.906091,1.536754,1.645079,1.827888,3.26114,1.300184,1.908161,1.252617,2.295266,0.471201,1.973487,1.867997,2.551738,2.590663,2.758235,0.915098,0.837215,1.456053,0.873328,1.222549,1.597628,1.393466,1.171286,0.696617,1.357999,1.696435,1.238328,1.630669,1.473117,1.106114,0.655638,2.571806,1.163205,0.771833,0.946763,1.133618,0.683106,0.886579,0.630921,0.611003,2.327139,1.165903,0.578702,1.664465,0.320708,0.954436,0.065281,0.928145,0.611374,1.162555,0.575073,0.672483,1.70374,0.306715,0.871013,0.367426,1.233354,0.758488,0.757612,0.972134,1.994435,2.269771,0.726788,0.853057,1.491321,0.713772,0.767312,0.397082,1.84249,1.099065,1.171496,1.206784,0.100292,0.423905,0.294273,0.953456,1.500927,1.122634,1.519795
