"transcript_id","gene_id"
"ENSSSCT00000000003","ENSSSCG00000000002"
"ENSSSCT00000000004","ENSSSCG00000000003"
"ENSSSCT00000000006","ENSSSCG00000000005"
"ENSSSCT00000000007","ENSSSCG00000000006"
"ENSSSCT00000000008","ENSSSCG00000000007"
"ENSSSCT00000000010","ENSSSCG00000024718"
"ENSSSCT00000000011","ENSSSCG00000000010"
"ENSSSCT00000000015","ENSSSCG00000000014"
"ENSSSCT00000000020","ENSSSCG00000000019"
"ENSSSCT00000000021","ENSSSCG00000000020"
"ENSSSCT00000000022","ENSSSCG00000000021"
"ENSSSCT00000000023","ENSSSCG00000000022"
"ENSSSCT00000000025","ENSSSCG00000000024"
"ENSSSCT00000000026","ENSSSCG00000000025"
"ENSSSCT00000000027","ENSSSCG00000000026"
"ENSSSCT00000000029","ENSSSCG00000000028"
"ENSSSCT00000000035","ENSSSCG00000000033"
"ENSSSCT00000000036","ENSSSCG00000000034"
"ENSSSCT00000000037","ENSSSCG00000000035"
"ENSSSCT00000000038","ENSSSCG00000000036"
"ENSSSCT00000000039","ENSSSCG00000000037"
"ENSSSCT00000000041","ENSSSCG00000000039"
"ENSSSCT00000000042","ENSSSCG00000000040"
"ENSSSCT00000000043","ENSSSCG00000062925"
"ENSSSCT00000000048","ENSSSCG00000020945"
"ENSSSCT00000000049","ENSSSCG00000000045"
"ENSSSCT00000000051","ENSSSCG00000000046"
"ENSSSCT00000000064","ENSSSCG00000000058"
"ENSSSCT00000000065","ENSSSCG00000000059"
"ENSSSCT00000000067","ENSSSCG00000000061"
"ENSSSCT00000000068","ENSSSCG00000000062"
"ENSSSCT00000000069","ENSSSCG00000000063"
"ENSSSCT00000000070","ENSSSCG00000000064"
"ENSSSCT00000000072","ENSSSCG00000000066"
"ENSSSCT00000000077","ENSSSCG00000000071"
"ENSSSCT00000000078","ENSSSCG00000000072"
"ENSSSCT00000000080","ENSSSCG00000000074"
"ENSSSCT00000000081","ENSSSCG00000000075"
"ENSSSCT00000000082","ENSSSCG00000000076"
"ENSSSCT00000000083","ENSSSCG00000000077"
"ENSSSCT00000000085","ENSSSCG00000000079"
"ENSSSCT00000000086","ENSSSCG00000000080"
"ENSSSCT00000000087","ENSSSCG00000000081"
"ENSSSCT00000000088","ENSSSCG00000000082"
"ENSSSCT00000000093","ENSSSCG00000000087"
"ENSSSCT00000000098","ENSSSCG00000000092"
"ENSSSCT00000000101","ENSSSCG00000000095"
"ENSSSCT00000000102","ENSSSCG00000039555"
"ENSSSCT00000000103","ENSSSCG00000000097"
"ENSSSCT00000000109","ENSSSCG00000000103"
"ENSSSCT00000000110","ENSSSCG00000000104"
"ENSSSCT00000000111","ENSSSCG00000000105"
"ENSSSCT00000000112","ENSSSCG00000000106"
"ENSSSCT00000000113","ENSSSCG00000000107"
"ENSSSCT00000000114","ENSSSCG00000000108"
"ENSSSCT00000000117","ENSSSCG00000000111"
"ENSSSCT00000000120","ENSSSCG00000000114"
"ENSSSCT00000000122","ENSSSCG00000000116"
"ENSSSCT00000000124","ENSSSCG00000000118"
"ENSSSCT00000000125","ENSSSCG00000000119"
"ENSSSCT00000000126","ENSSSCG00000000120"
"ENSSSCT00000000127","ENSSSCG00000000121"
"ENSSSCT00000000128","ENSSSCG00000029945"
"ENSSSCT00000000136","ENSSSCG00000000130"
"ENSSSCT00000000137","ENSSSCG00000000131"
"ENSSSCT00000000138","ENSSSCG00000000132"
"ENSSSCT00000000139","ENSSSCG00000000133"
"ENSSSCT00000000141","ENSSSCG00000000135"
"ENSSSCT00000000142","ENSSSCG00000000136"
"ENSSSCT00000000145","ENSSSCG00000000139"
"ENSSSCT00000000147","ENSSSCG00000000141"
"ENSSSCT00000000150","ENSSSCG00000000144"
"ENSSSCT00000000153","ENSSSCG00000000146"
"ENSSSCT00000000160","ENSSSCG00000000152"
"ENSSSCT00000000164","ENSSSCG00000000156"
"ENSSSCT00000000165","ENSSSCG00000040453"
