"metric","value"
"method_version","2026-05-16_chronic_step2_current78_TMM_aligned_with_pig_early_Step19"
"signature_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_signature_gene_table.csv"
"chronic_main_manifest_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_manifest.csv"
"chronic_main_counts_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv"
"n_signature_genes_used","75"
"n_up_signature_genes","65"
"n_down_signature_genes","10"
"n_samples","24"
"n_Control_52W","12"
"n_ACLT_alone_52W","12"
"score_scale","edgeR TMM-normalized logCPM; row-wise z-score across 24 chronic main-comparison samples"
"filterByExpr_before_scoring","FALSE"
"TMM_normalization","edgeR::calcNormFactors(method = 'TMM'); edgeR::cpm(log = TRUE, prior.count = 1, normalized.lib.sizes = TRUE)"
"estimated_counts_rounded","FALSE"
"primary_directional_score_definition","(sum up z + sum -down z)/(n_up+n_down)"
"audit_directional_score_sum_means_saved","TRUE; directional_score_sum_means = up_score + down_score_reoriented"
"group_test","two-sided Wilcoxon rank-sum test for ACLT_alone_52W vs Control_52W; exact = FALSE"
"directional_score_median_Control_52W","-0.139433548042642"
"directional_score_median_ACLT_alone_52W","0.162449627277128"
"directional_score_median_difference_case_minus_control","0.30188317531977"
"directional_score_wilcox_p_value","0.000900935596360016"
"directional_score_BH_FDR_across_all_score_comparisons","0.00401900971132003"
"main_score_table","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step2_current78_signature_score_TMM_aligned/chronic_step2_current78_TMM_aligned_signature_scores_by_sample.csv"
"group_comparison_table","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step2_current78_signature_score_TMM_aligned/chronic_step2_current78_TMM_aligned_signature_score_group_comparisons.csv"
"figure_png","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5A_current78_chronic_signature_score_TMM_aligned/Figure5A_current78_chronic_signature_scores_TMM_aligned.png"
"figure_pdf","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5A_current78_chronic_signature_score_TMM_aligned/Figure5A_current78_chronic_signature_scores_TMM_aligned.pdf"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step2_current78_signature_score_TMM_aligned"
