"metric","value"
"comparison","ACLT_alone_52W_vs_Control_52W"
"input_genes_common_count_length","22438"
"genes_after_filterByExpr","14403"
"genes_removed_due_to_invalid_effective_length","0"
"genes_tested_after_length_filter","14403"
"strict_DEG_FDR0.05_abslogFC1_total","545"
"strict_DEG_up","316"
"strict_DEG_down","229"
"design","Control_52W; ACLT_alone_52W"
"contrast","ACLT_alone_52W - Control_52W"
"edgeR_method","DGEList + filterByExpr + tximport effective-length offset + estimateDisp + glmQLFit(robust=TRUE) + glmQLFTest"
"effective_length_offset_used","TRUE"
