"metric","value"
"ranked_genes_after_symbol_dedup","14402"
"duplicated_symbol_rows_removed","1"
"n_full_hallmark_gene_sets_loaded","50"
"n_full_hallmark_gene_sets_tested","50"
"fgsea_minSize","10"
"fgsea_maxSize","500"
"fgsea_eps","0"
"fgsea_nproc","1"
"fgsea_seed","1"
"rank_statistic","sign(logFC) * -log10(PValue)"
"gene_identifier_for_GSEA","pig gene symbols"
"full_collection_FDR_used","TRUE"
"target_pathways","HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"inflammatory_response_NES","-1.02599937589292"
"inflammatory_response_FDR","0.415415415415415"
"EMT_NES","2.14764222806787"
"EMT_FDR","3.36437709505716e-09"
"gsea_png","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5B_current78_chronic_Hallmark_GSEA/Figure5B_current78_chronic_Hallmark_GSEA_running_curves_mouse_style.png"
"gsea_pdf","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5B_current78_chronic_Hallmark_GSEA/Figure5B_current78_chronic_Hallmark_GSEA_running_curves_mouse_style.pdf"
