"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6.72875419011432e-11,3.36437709505716e-09,0.839088935621274,0.531793935257761,2.14764222806787,172,71,"PMEPA1;PTHLH;MMP2;CCN2;GREM1;COL5A1;COL5A2;COL6A2;SDC1;GEM;COL1A1;ENO2;DST;THBS2;COL6A3;BGN;PMP22;ITGB1;COL16A1;LRRC15;DPYSL3;COL1A2;COL3A1;ADAM12;SPARC;INHBA;MMP14;EDIL3;PLOD2;PLOD3;ITGA5;HTRA1;ITGB5;JUN;CCN1;COL8A2;SERPINH1;CTHRC1;FOXC2;LOXL2;TNFRSF12A;ELN;COL12A1;ECM2;CALD1;CDH11;LOX;VIM;PDGFRB;GPX7;SFRP4;FLNA;FSTL3;ID2;GADD45B;POSTN;BDNF;FBN1;SERPINE1;FAS;COL4A2;FMOD;LOXL1;LAMA3;BMP1;P3H1;ITGAV;RHOB;MSX1;CAPG;LGALS1"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_MYC_TARGETS_V1",7.95170467051341e-10,1.98792616762835e-08,0.801215574617779,0.514926121193832,2.08149813888794,175,99,"HDGF;CAD;YWHAQ;FAM120A;PTGES3;EIF3J;GSPT1;EIF4G2;TRIM28;LDHA;CDK2;PCNA;SYNCRIP;RNPS1;FBL;PSMD8;HDAC2;LSM2;PSMC4;SERBP1;PSMD3;PRPF31;IFRD1;HNRNPA2B1;PSMD7;RANBP1;EPRS1;TXNL4A;EIF2S2;GOT2;CCT5;USP1;EXOSC7;SRSF1;PCBP1;SNRPD2;EIF4E;TCP1;PPM1G;SRPK1;EIF4H;PSMB3;RUVBL2;CCT4;CCT7;PABPC1;TFDP1;HNRNPR;PSMD1;CCT3;ETF1;SSB;PSMC6;AIMP2;PSMA7;EIF1AX;CCT2;ABCE1;BUB3;DUT;XPOT;DDX21;PSMA2;KPNB1;DDX18;H2AZ1;U2AF1;NOLC1;PGK1;CTPS1;RSL1D1;PSMA1;SNRPB2;RAD23B;CYC1;CDC20;HNRNPU;TYMS;SRSF3;SMARCC1;RPS6;SRM;CUL1;VBP1;CSTF2;RPL18;NDUFAB1;HSPE1;RACK1;LSM7;CDK4;COX5A;IMPDH2;DHX15;PWP1;TRA2B;RPL34;PSMD14;PSMA4"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.26050056571559e-09,1.0434167609526e-07,0.761460801445585,0.502774666212178,2.03573740862619,169,72,"PMEPA1;SPSB1;KLF6;MAFF;DUSP1;RCAN1;GEM;PPP1R15A;SGK1;LDLR;NFKB2;PHLDA1;TGIF1;INHBA;CCND1;JUN;CCN1;MCL1;HBEGF;NR4A1;NFAT5;SIK1;NFKBIE;BMP2;RELB;IER2;ATF3;IER5;BIRC3;IER3;ACKR3;EHD1;NR4A2;TNFAIP6;ID2;GADD45B;PDLIM5;LIF;ZBTB10;CXCL10;SERPINE1;KLF2;CCL4;CLCF1;MSC;NFIL3;KDM6B;SPHK1;NR4A3;FOS;FOSL2;CDKN1A;B4GALT5;RHOB;FOSL1;DUSP4;BHLHE40;FJX1;KLF4;FOSB;TUBB2B;PER1;PTPRE;JUNB;NFKBIA;TNIP2;DNAJB4;PHLDA2;EIF1;PLAUR;PLAU;NFKB1"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_MTORC1_SIGNALING",1.31561845486341e-05,0.000164452306857926,0.593325476396405,0.417462941440159,1.69887515922471,183,73,"HMGCR;PPP1R15A;SQLE;CYP51A1;LDLR;PLOD2;SRD5A1;SERPINH1;SLC7A5;FADS2;HMGCS1;SHMT2;PDAP1;SLC37A4;SLC1A4;PNP;LDHA;ABCF2;SLC2A1;CD9;MLLT11;NUPR1;TPI1;TES;YKT6;PSMC4;XBP1;NFIL3;PSMD13;SLC6A6;HSP90B1;CDKN1A;IFRD1;EPRS1;BHLHE40;PSME3;NFYC;PHGDH;EIF2S2;PSMD12;MTHFD2;ATP2A2;NFKBIB;UCHL5;PITPNB;USO1;PNO1;TM7SF2;GAPDH;ALDOA;PSMG1;SDF2L1;HSPA4;ATP5MC1;NIBAN1;DDX39A;ETF1;BTG2;PSMC6;RPN1;CALR;HSPA5;FADS1;TMEM97;IMMT;ENO1;ASNS;PPA1;HSPA9;STIP1;UNG;HMBS;PGK1"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_MITOTIC_SPINDLE",2.89084577665404e-05,0.000289084577665404,0.575610261071129,0.419427081692494,1.70415213914766,180,56,"CTTN;PALLD;PKD2;SYNPO;EZR;DST;ABR;BCR;VCL;ACTN4;FARP1;ABL1;BCAR1;HOOK3;RALBP1;FSCN1;DYNC1H1;KIF5B;KIF1B;KATNA1;SMC1A;SPTAN1;NIN;ARHGEF12;PPP4R2;FLNA;SORBS2;MYO1E;PAFAH1B1;RASAL2;PDLIM5;ARHGAP27;CLIP1;ARF6;SEPTIN9;KIF11;ROCK1;ARHGAP29;RANBP9;RACGAP1;ARHGDIA;NET1;ESPL1;TLK1;ARFIP2;NCK2;KLC1;DYNLL2;CD2AP;GEMIN4;SHROOM2;DLG1;WASL;CDK5RAP2;TPX2;CENPF"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_INTERFERON_ALPHA_RESPONSE",4.99802687935254e-05,0.000358772395392348,0.557332238758646,-0.498164005173907,-1.84824053894695,77,39,"TXNIP;GMPR;TMEM140;SP110;IFI44L;USP18;DHX58;CSF1;CASP8;IFIT3;TRIM14;IFI44;CASP1;STAT2;TRIM21;PARP12;CMPK2;ADAR;IRF9;TRIM25;MX1;SELL;EIF2AK2;DDX60;LGALS3BP;CCRL2;EPSTI1;PSME1;IRF2;NMI;IFIT2;CD47;TENT5A;PARP14;PLSCR1;LY6E;BATF2;PARP9;BST2"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_XENOBIOTIC_METABOLISM",5.02281353549287e-05,0.000358772395392348,0.557332238758646,-0.432532932530831,-1.76090196880006,146,33,"FBP1;BCAT1;SLC46A3;CAT;CDO1;EPHX1;NDRG2;PTGDS;TMBIM6;ECH1;HSD11B1;HACL1;MCCC2;ACP2;IDH1;IRF8;AQP9;VTN;APOE;KYNU;AOX1;PDK4;MTHFD1;PC;ABCC3;CES1;ACOX2;NFS1;FAH;MAN1A1;ESR1;ADH1C;RETSAT"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_TGF_BETA_SIGNALING",9.94783279312314e-05,0.000553673291692413,0.538434096309916,0.581384532754766,1.91673898122857,50,23,"PMEPA1;SKI;PPP1R15A;TGIF1;SMAD7;BMP2;SKIL;PPP1CA;BMPR2;TJP1;ID2;WWTR1;SERPINE1;BMPR1A;RAB31;SMAD1;CTNNB1;CDK9;SMURF2;XIAP;NCOR2;CDKN1C;JUNB"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_UV_RESPONSE_DN",9.96611925046344e-05,0.000553673291692413,0.538434096309916,0.433957776921763,1.69769663783738,134,40,"TENT4A;PRKCA;SYNJ2;PTPN21;COL5A2;DUSP1;COL1A1;LDLR;ATXN1;ATP2B4;PMP22;VAV2;SDC2;COL1A2;PIAS3;COL3A1;MAP1B;ANXA4;SLC7A1;MAGI2;MMP16;CCN1;AMPH;DDAH1;TFPI;AKT3;SMAD7;DLC1;PDGFRB;NEK7;PTPRM;WDR37;ATP2C1;TJP1;PDLIM5;BDNF;SERPINE1;MET;BMPR1A;RUNX1"
"ACLT_alone_52W_vs_Control_52W","HALLMARK_HYPOXIA",0.000134091965967217,0.000670459829836086,0.518848077743792,0.407069476312743,1.64326630592458,166,61,"PFKP;PRKCA;CCN2;COL5A1;KLF6;MAFF;HDLBP;DUSP1;PPP1R15A;ENO2;BGN;S100A4;CSRP2;SDC2;CAVIN1;RORA;JUN;CCN1;CAVIN3;AMPD3;PDK3;TGFB3;KDELR3;SLC37A4;LDHA;LARGE1;ATF3;LOX;KLF7;IER3;ACKR3;CCN5;NOCT;SLC2A1;ETS1;TPI1;SERPINE1;TES;NFIL3;FOS;SLC6A6;FOSL2;CHST2;CDKN1A;HAS1;P4HA2;KIF5A;EGFR;NDST1;BHLHE40;TPBG;SAP30;PIM1;ENO3;PGM2;NR3C1;UGP2;CDKN1C;ANXA2;GAPDH;ALDOA"
