"metric","value"
"fixed_early_defined_core_genes","24"
"core_genes_tested_in_chronic_DE","20"
"core_genes_not_tested_in_chronic_DE","4"
"direction_consistent_with_early","19"
"opposite_or_reversed_direction","1"
"chronic_FDR_lt_0.05","9"
"chronic_abslogFC_gt_1","4"
"chronic_strict_DEG_FDR0.05_abslogFC1","4"
"chronic_strict_and_direction_consistent","4"
"early_up_core_genes","21"
"early_up_direction_consistent","17"
"early_up_chronic_strict","3"
"early_up_chronic_strict_and_direction_consistent","3"
"early_down_core_genes","3"
"early_down_direction_consistent","2"
"early_down_chronic_strict","1"
"early_down_chronic_strict_and_direction_consistent","1"
"interpretation_policy","This is a chronic DE audit of fixed early-defined core genes; it does not redefine chronic core genes."
"output_dir","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step5B_current78_core_DE_audit_Step4_locked"
