"metric","value"
"step5B_audit_input_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step5B_current78_core_DE_audit_Step4_locked/chronic_step5B_early_defined_24_core_chronic_DE_audit_table.csv"
"n_fixed_early_defined_core_genes","24"
"n_tested_in_chronic_DE","20"
"n_not_tested_in_chronic_DE","4"
"n_strict_and_direction_consistent","4"
"n_opposite_or_reversed","1"
"strict_retained_genes","SDC1, SPARC, LOXL2, PPARG"
"not_tested_genes","CCNB1, FOXM1, TTK, CBS"
"reversed_genes","TNFSF15"
"figure_png","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5C_current78_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2/Figure5C_current78_core_DE_gene_audit_lollipop.png"
"figure_pdf","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5C_current78_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2/Figure5C_current78_core_DE_gene_audit_lollipop.pdf"
"plot_source_data_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_figure5C_current78_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2/chronic_figure5C_current78_plot_source_data.csv"
"plot_statistics_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_figure5C_current78_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2/chronic_figure5C_current78_plot_statistics.csv"
"interpretation_policy","Figure5C is a gene-level chronic DE audit plot for the fixed early-defined 24 core genes; it does not redefine a chronic core set."
"output_dir","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_figure5C_current78_core_DE_gene_audit_plot_Step4_locked_fixed_label_v2"
