"category","role","required","source_exact_rel","source_basename_candidates","source_resolved","destination","selection_mode","n_exact_basename_candidates","status","source_size_bytes","copied_size_bytes","source_modified_time","copied_modified_time","md5_copied_file","all_exact_basename_candidates","error_message"
"scripts","Step H2w1 WSL fastp smoke test script",TRUE,"","A pig_early_fastp_sensitivity_stepH2w1_wsl_fastp_smoke_test.R | A pig_early_fastp_sensitivity_stepH2w1_wsl_fastp_smoke_test(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/A pig_early_fastp_sensitivity_stepH2w1_wsl_fastp_smoke_test.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/A pig_early_fastp_sensitivity_stepH2w1_wsl_fastp_smoke_test.R","exact_basename_search_prefer_primary_root",1,"COPIED",12147,12147,"2026-04-28 21:13:16","2026-04-28 21:13:16","1867d45a06c4729617e22d05c14eab7c","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/A pig_early_fastp_sensitivity_stepH2w1_wsl_fastp_smoke_test.R",""
"scripts","Step H2w2 WSL fastp batch trimming script",TRUE,"","B pig_early_fastp_sensitivity_stepH2w2_v3_wsl_fastp_batch_18samples.R | B pig_early_fastp_sensitivity_stepH2w2_v3_wsl_fastp_batch_18samples(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/B pig_early_fastp_sensitivity_stepH2w2_v3_wsl_fastp_batch_18samples.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/B pig_early_fastp_sensitivity_stepH2w2_v3_wsl_fastp_batch_18samples.R","exact_basename_search_prefer_primary_root",1,"COPIED",18550,18550,"2026-04-28 21:16:28","2026-04-28 21:16:28","2603948d54b7f61e55a40856c023fe52","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/B pig_early_fastp_sensitivity_stepH2w2_v3_wsl_fastp_batch_18samples.R",""
"scripts","Step H2w3 fastp QC and alignment manifest script",TRUE,"","C pig_early_fastp_sensitivity_stepH2w3_fastp_qc_and_alignment_manifest.R | C pig_early_fastp_sensitivity_stepH2w3_fastp_qc_and_alignment_manifest(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/C pig_early_fastp_sensitivity_stepH2w3_fastp_qc_and_alignment_manifest.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/C pig_early_fastp_sensitivity_stepH2w3_fastp_qc_and_alignment_manifest.R","exact_basename_search_prefer_primary_root",1,"COPIED",16336,16336,"2026-04-28 21:16:28","2026-04-28 21:16:28","6909a6f432fdb949f0d1d482d3b7eeaf","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/C pig_early_fastp_sensitivity_stepH2w3_fastp_qc_and_alignment_manifest.R",""
"scripts","Step H2w4 trimmed FASTQ Rsubread alignment script",TRUE,"","D pig_early_fastp_sensitivity_stepH2w4_v2_trimmed_fastq_alignment.R | D pig_early_fastp_sensitivity_stepH2w4_v2_trimmed_fastq_alignment(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/D pig_early_fastp_sensitivity_stepH2w4_v2_trimmed_fastq_alignment.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/D pig_early_fastp_sensitivity_stepH2w4_v2_trimmed_fastq_alignment.R","exact_basename_search_prefer_primary_root",1,"COPIED",15145,15145,"2026-04-28 21:16:28","2026-04-28 21:16:28","817f45673781877140899f8ca5d90ce2","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/D pig_early_fastp_sensitivity_stepH2w4_v2_trimmed_fastq_alignment.R",""
"scripts","Step H2w5 trimmed featureCounts script",TRUE,"","E pig_early_fastp_sensitivity_stepH2w5_v2_trimmed_featureCounts_main_matched.R | E pig_early_fastp_sensitivity_stepH2w5_v2_trimmed_featureCounts_main_matched(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/E pig_early_fastp_sensitivity_stepH2w5_v2_trimmed_featureCounts_main_matched.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/E pig_early_fastp_sensitivity_stepH2w5_v2_trimmed_featureCounts_main_matched.R","exact_basename_search_prefer_primary_root",1,"COPIED",17869,17869,"2026-05-16 22:03:20","2026-05-16 22:03:20","184f69a32522d38b51971f5391117d5e","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/E pig_early_fastp_sensitivity_stepH2w5_v2_trimmed_featureCounts_main_matched.R",""
"scripts","Step H2w6 trimmed edgeR QLF DE script",TRUE,"","F pig_early_fastp_sensitivity_stepH2w6_trimmed_edgeR_QLF_DE.R | F pig_early_fastp_sensitivity_stepH2w6_trimmed_edgeR_QLF_DE(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/F pig_early_fastp_sensitivity_stepH2w6_trimmed_edgeR_QLF_DE.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/F pig_early_fastp_sensitivity_stepH2w6_trimmed_edgeR_QLF_DE.R","exact_basename_search_prefer_primary_root",1,"COPIED",17171,17171,"2026-05-16 20:32:12","2026-05-16 20:32:12","6037644e5d5912decbf8815f12d349ff","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/F pig_early_fastp_sensitivity_stepH2w6_trimmed_edgeR_QLF_DE.R",""
"scripts","Step H2w7 locked DE stability script",TRUE,"","G_stepH2w7_trimmed_vs_untrimmed_DE_stability_locked_exact_paths.R | G_stepH2w7_trimmed_vs_untrimmed_DE_stability_locked_exact_paths(1).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/G_stepH2w7_trimmed_vs_untrimmed_DE_stability_locked_exact_paths.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/G_stepH2w7_trimmed_vs_untrimmed_DE_stability_locked_exact_paths.R","exact_basename_search_prefer_primary_root",1,"COPIED",18283,18283,"2026-05-26 22:26:52","2026-05-26 22:26:52","5cdaac0c565e36116a134c2d5b30e5a9","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/G_stepH2w7_trimmed_vs_untrimmed_DE_stability_locked_exact_paths.R",""
"scripts","Step H2w8 current78 signature score stability script",TRUE,"","H StepH2w8_current78_signature_score_stability_TMM_logCPM_matched_to_Step19.R | H StepH2w8_current78_signature_score_stability_TMM_logCPM_matched_to_Step19(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/H StepH2w8_current78_signature_score_stability_TMM_logCPM_matched_to_Step19.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/H StepH2w8_current78_signature_score_stability_TMM_logCPM_matched_to_Step19.R","exact_basename_search_prefer_primary_root",1,"COPIED",28556,28556,"2026-05-17 07:33:44","2026-05-17 07:33:44","676a2cf9839dbf142b9fd1036e8543be","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/H StepH2w8_current78_signature_score_stability_TMM_logCPM_matched_to_Step19.R",""
"scripts","Step H2w9 locked GSEA stability script",TRUE,"","I_stepH2w9_current78_GSEA_stability_locked_exact_paths.R | I_stepH2w9_current78_GSEA_stability_locked_exact_paths(1).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/I_stepH2w9_current78_GSEA_stability_locked_exact_paths.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/I_stepH2w9_current78_GSEA_stability_locked_exact_paths.R","exact_basename_search_prefer_primary_root",1,"COPIED",34921,34921,"2026-05-26 22:27:10","2026-05-26 22:27:10","e64ce42202ee068f3e01bd8bc74a07eb","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/I_stepH2w9_current78_GSEA_stability_locked_exact_paths.R",""
"scripts","Step H2w10 current78 core gene sensitivity audit script",TRUE,"","J StepH2w10_current78_core_gene_sensitivity_audit_directional_strict_corrected.R | J StepH2w10_current78_core_gene_sensitivity_audit_directional_strict_corrected(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/J StepH2w10_current78_core_gene_sensitivity_audit_directional_strict_corrected.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/J StepH2w10_current78_core_gene_sensitivity_audit_directional_strict_corrected.R","exact_basename_search_prefer_primary_root",1,"COPIED",28630,28630,"2026-05-16 21:44:26","2026-05-16 21:44:26","95c08596381929e0cab2094d49347a71","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/J StepH2w10_current78_core_gene_sensitivity_audit_directional_strict_corrected.R",""
"scripts","Step H2w11 trimmed signature score figure script",TRUE,"","K stepH2w11_current78_trimmed_signature_score_figure.R | K stepH2w11_current78_trimmed_signature_score_figure(3).R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/K stepH2w11_current78_trimmed_signature_score_figure.R","E:/R/ACLsenescence2/rebuild_submission/submission/early pig fastp sensitivity check/scripts/K stepH2w11_current78_trimmed_signature_score_figure.R","exact_basename_search_prefer_primary_root",1,"COPIED",13433,13433,"2026-05-07 16:36:54","2026-05-07 16:36:54","eae67932de59614244c8dc2adc23111d","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/scripts/K stepH2w11_current78_trimmed_signature_score_figure.R",""
