"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000028996",-2.51703235660093,6.19030232722603,92.5954326955846,1.73229032130437e-07,1.62788785764455e-05,"ALDH1A1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000005267",0.478249524943338,10.1215407762058,7.98135968686851,0.0136761435205607,0.0352850247070862,"ANXA1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000005269",0.630867502947172,0.952008375250265,7.31536605612249,0.0173433044323784,0.0427311188918112,"TRPM6","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000031382",0.136790059153355,3.10575155415322,0.849321553773602,0.372615553581022,0.482552994935393,"C9orf40","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000005271",0.0813307709530277,3.78680321082134,0.262778584636636,0.616343844093375,0.705184385111573,"CARNMT1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000005272",-0.445209431120465,2.32760518793006,7.19771710970396,0.0180587330727599,0.0441061235822173,"NMRK1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000005273",-0.104993632515984,6.19819268067819,1.18335715885709,0.295351912853547,0.40307187951027,"OSTF1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000023520",1.03746579221699,4.00523431248148,8.89556648099357,0.0100408470310826,0.0275670470841605,"PCSK5","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000057774",0.0796076896483327,5.89922086193462,0.320032361768069,0.580692237444092,0.675134631949339,"ENSSSCG00000057774","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000037277",0.393357048223467,3.44393421703336,12.9785033615386,0.00295563384152074,0.0108422282025081,"RFK","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000005277",0.333131978572795,3.47746786633391,1.50690904296291,0.240190314907064,0.344182431664833,"GCNT1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000004349",0.326189757050434,4.99298416403413,7.00659570337165,0.0193565356847332,0.0466730175060503,"COQ3","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000004272",-0.382685491479996,5.22798978212257,17.8177736808676,0.000885382349827218,0.00440082487123916,"LMBRD1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000037594",-0.00860063320123568,6.6882773877445,0.00595932425981826,0.939577801011133,0.95798211386863,"PNISR","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000004261",-1.88320128248143,3.65420503823092,57.2836231077902,2.88011285519277e-06,9.00163843714489e-05,"ENSSSCG00000004261","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000004351",-0.0795273799015429,2.72333473596813,0.489318680555762,0.49588432089564,0.600922135118496,"USP45","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000004262",-0.670715450897965,1.99831919311249,6.93869472605723,0.0198539714002626,0.0476264018410959,"KPNA5","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000038757",-0.520073467190981,2.82876448118421,10.9768647616093,0.00523124526351954,0.0167194467427073,"ENSSSCG00000038757","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000004353",0.254672457801049,5.07739588679269,6.35873219597758,0.0246637015064897,0.0567621874579008,"CCNC","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000005284",-0.166036132854488,2.20848323096922,0.212439061791106,0.652062550810164,0.736126730342975,"GNA14","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000004263",0.522841280843437,3.43040677645238,5.83141150316955,0.0302691690542475,0.0666839546965542,"ZUP1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000021802",-0.23334860692429,2.90254873661592,2.0881049562788,0.170830203235448,0.263809915705607,"ABHD17B","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000031105",0.166532870876233,2.2529954037057,0.793084812080901,0.388473799936539,0.498251364542586,"C9orf85","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000004355",-0.0161835200281204,0.436351785029555,0.00376017880329109,0.951991571865949,0.966767188081448,"ENSSSCG00000004355","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000023834",1.01118669704589,0.825827049114918,11.8858378890243,0.00403933462413184,0.0137411961630452,"RSPH4A","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000031854",0.709095513012262,0.617334925177172,4.55830111413497,0.0513571468344437,0.101151867642,"ENSSSCG00000031854","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000025941",0.426764095991845,6.07100663572664,18.3554887723732,0.000784139898378584,0.00400712659018136,"PTP4A1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000030268",-0.585979726077544,6.4963058988655,10.4939345074512,0.00604920279149762,0.0187354006846786,"ZFAND5","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
