"sample_id","group","raw_R1_exists","raw_R2_exists","trimmed_R1_exists","trimmed_R2_exists","fastp_html_exists","fastp_json_exists","raw_R1_size_mb","raw_R2_size_mb","trimmed_R1_size_mb","trimmed_R2_size_mb","h2w2_exit_status","h2w2_sample_ok","fastp_json_parsed_ok","fastp_json_parse_error","before_total_reads","after_total_reads","retained_read_pct","before_total_bases","after_total_bases","retained_base_pct","before_q30_rate","after_q30_rate","before_q30_pct","after_q30_pct","before_gc_content","after_gc_content","before_gc_pct","after_gc_pct","read1_mean_length_before","read2_mean_length_before","read1_mean_length_after","read2_mean_length_after","passed_filter_reads","low_quality_reads","too_many_N_reads","too_short_reads","low_quality_read_pct","too_many_N_read_pct","too_short_read_pct","adapter_trimmed_reads","adapter_trimmed_bases","adapter_trimmed_read_pct","duplication_rate","duplication_pct","sample_ok_h2w3","raw_R1","raw_R2","trimmed_R1","trimmed_R2","fastp_html","fastp_json"
"CON1","Control_t0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,621.774,656.309,667.226,701.445,0,TRUE,TRUE,NA,30647962,30560640,99.715,1532398100,1527352258,99.671,0.945458,0.945843,94.546,94.584,0.497913,0.498124,49.791,49.812,50,50,49,49,30560640,20492,6662,60168,0.067,0.022,0.196,117046,2229997,0.382,0.229178,22.918,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON1_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON1_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON1.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON1.fastp.json"
"CON2","Control_t0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,519.491,532.185,554.97,567.247,0,TRUE,TRUE,NA,23326320,23235654,99.611,1166316000,1161385376,99.577,0.914035,0.914896,91.404,91.49,0.501827,0.502221,50.183,50.222,50,50,49,49,23235654,32246,15964,42456,0.138,0.068,0.182,70768,1488599,0.303,0.21655,21.655,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON2_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON2_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON2.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON2.fastp.json"
"CON3","Control_t0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,768.774,806.825,830.092,867.994,0,TRUE,TRUE,NA,37092712,36994728,99.736,1854635600,1849079260,99.7,0.92873,0.928881,92.873,92.888,0.508454,0.508608,50.845,50.861,50,50,49,49,36994728,7694,7712,82578,0.021,0.021,0.223,124699,2821237,0.336,0.266497,26.65,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON3_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON3_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON3.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON3.fastp.json"
"CON4","Control_t0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,769.396,788.083,821.889,840.425,0,TRUE,TRUE,NA,38953742,38771620,99.532,1947687100,1936321399,99.416,0.962458,0.963293,96.246,96.329,0.503114,0.503366,50.311,50.337,50,50,49,49,38771620,44214,36850,101058,0.114,0.095,0.259,244657,4638958,0.628,0.213134,21.313,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON4_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON4_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON4.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON4.fastp.json"
"CON5","Control_t0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1032.43,1067.236,1101.987,1136.533,0,TRUE,TRUE,NA,50650948,50499722,99.701,2532547400,2523215109,99.632,0.950579,0.950993,95.058,95.099,0.506473,0.506451,50.647,50.645,50,50,49,49,50499722,33772,11136,106318,0.067,0.022,0.21,260595,4601421,0.514,0.233864,23.386,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON5_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON5_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON5.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON5.fastp.json"
"CON6","Control_t0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,631.034,635.41,665.428,670.042,0,TRUE,TRUE,NA,27897296,27827624,99.75,1394864800,1390873052,99.714,0.920744,0.921649,92.074,92.165,0.504758,0.505058,50.476,50.506,50,50,49,49,27827624,39200,19252,11220,0.141,0.069,0.04,62574,787439,0.224,0.116889,11.689,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON6_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON6_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON6.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON6.fastp.json"
"INJS1","ACLT_t7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,770.489,798.973,817.585,846.789,0,TRUE,TRUE,NA,36565064,36491442,99.799,1828253200,1823512609,99.741,0.93143,0.931584,93.143,93.158,0.493665,0.493584,49.367,49.358,50,50,49,49,36491442,7336,8094,58192,0.02,0.022,0.159,166367,2734134,0.455,0.129155,12.916,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS1_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS1_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS1.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS1.fastp.json"
"INJS2","ACLT_t7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,696.583,704.647,742.681,750.757,0,TRUE,TRUE,NA,35188388,35066644,99.654,1759419400,1752361332,99.599,0.964219,0.965035,96.422,96.504,0.503412,0.503742,50.341,50.374,50,50,49,49,35066644,39822,33130,48792,0.113,0.094,0.139,153115,2250371,0.435,0.166342,16.634,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS2_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS2_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS2.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS2.fastp.json"
"INJS3","ACLT_t7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,634.461,667.821,673.794,706.974,0,TRUE,TRUE,NA,30959444,30911058,99.844,1547972200,1544587319,99.781,0.945723,0.946141,94.572,94.614,0.506466,0.506645,50.647,50.665,50,50,49,49,30911058,21012,6880,20494,0.068,0.022,0.066,139894,1481713,0.452,0.113063,11.306,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS3_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS3_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS3.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS3.fastp.json"
"INJS4","ACLT_t7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,514.63,524.619,542.857,552.503,0,TRUE,TRUE,NA,22790472,22734468,99.754,1139523600,1136303736,99.717,0.914369,0.915264,91.437,91.526,0.506563,0.506933,50.656,50.693,50,50,49,49,22734468,31828,15802,8374,0.14,0.069,0.037,56663,638761,0.249,0.093102,9.31,TRUE,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS4_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS4_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS4.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS4.fastp.json"
