"sample_id","group","R1_fastq","R2_fastq","fastp_json","fastp_html","before_total_reads","after_total_reads","retained_read_pct","after_q30_pct","sample_ok_h2w3"
"CON1","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON1.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON1.fastp.html",30647962,30560640,99.715,94.584,TRUE
"CON2","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON2.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON2.fastp.html",23326320,23235654,99.611,91.49,TRUE
"CON3","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON3.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON3.fastp.html",37092712,36994728,99.736,92.888,TRUE
"CON4","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON4.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON4.fastp.html",38953742,38771620,99.532,96.329,TRUE
"CON5","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON5.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON5.fastp.html",50650948,50499722,99.701,95.099,TRUE
"CON6","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON6.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON6.fastp.html",27897296,27827624,99.75,92.165,TRUE
"INJS1","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS1.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS1.fastp.html",36565064,36491442,99.799,93.158,TRUE
"INJS2","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS2.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS2.fastp.html",35188388,35066644,99.654,96.504,TRUE
"INJS3","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS3.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS3.fastp.html",30959444,30911058,99.844,94.614,TRUE
"INJS4","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS4.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS4.fastp.html",22790472,22734468,99.754,91.526,TRUE
"INJS5","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS5_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS5_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS5.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS5.fastp.html",31890766,31834640,99.824,92.925,TRUE
"INJS6","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS6_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS6_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS6.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS6.fastp.html",19428196,19368310,99.692,96.334,TRUE
"INJL1","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJL1.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJL1.fastp.html",28142790,28084594,99.793,94.677,TRUE
"INJL2","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJL2.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJL2.fastp.html",24574104,24499728,99.697,91.703,TRUE
"INJL3","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJL3.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJL3.fastp.html",30820460,30786876,99.891,93.181,TRUE
"INJL4","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJL4.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJL4.fastp.html",35806876,35662500,99.597,96.503,TRUE
"INJL5","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL5_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL5_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJL5.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJL5.fastp.html",30982292,30896978,99.725,94.991,TRUE
"INJL6","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL6_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJL6_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJL6.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJL6.fastp.html",24447956,24368354,99.674,92.072,TRUE
