"metric","value"
"project_root","E:/R/ACLsenescence2"
"branch_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity"
"manifest_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w3_trimmed_fastq_manifest_for_alignment_18samples.csv"
"manifest_R1_column_used","R1_fastq"
"manifest_R2_column_used","R2_fastq"
"chosen_rsubread_index","E:/R/ACLsenescence2/reference/Sus_scrofa_Ensembl115/Rsubread_index/Sus_scrofa_Sscrofa11.1_gapped"
"threads","4"
"n_samples_in_manifest","18"
"n_samples_ok","18"
"n_samples_failed_or_incomplete","0"
"n_run_align","18"
"n_skipped_existing_complete","0"
"batch_ok_h2w4","TRUE"
"bam_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed"
"status_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w4_v2_trimmed_alignment_status_18samples.csv"
"summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w4_v2_trimmed_alignment_summary.csv"
"index_candidates_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w4_v2_rsubread_index_candidates.csv"
"main_log_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_trimmed_alignment_main_log.txt"
"config_rds","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w4_v2_trimmed_alignment_config.rds"
"status","Step H2w4 v2 completed successfully"
