"sample_id","group","action","exit_status","sample_ok_h2w4","trimmed_R1","trimmed_R2","bam_file","bam_exists_before","bam_size_before","bam_exists_after","bam_size_after","rsubread_summary_file","rsubread_summary_exists","sample_log_file","error_message","bam_file_h2w5","bam_exists_h2w5","bam_size_h2w5"
"CON1","Control_t0","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON1.trimmed.Rsubread.bam",FALSE,NA,TRUE,1855973569,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON1.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_CON1.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON1.trimmed.Rsubread.bam",TRUE,1855973569
"CON2","Control_t0","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON2.trimmed.Rsubread.bam",FALSE,NA,TRUE,1494480000,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON2.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_CON2.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON2.trimmed.Rsubread.bam",TRUE,1494480000
"CON3","Control_t0","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON3.trimmed.Rsubread.bam",FALSE,NA,TRUE,2284069110,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON3.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_CON3.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON3.trimmed.Rsubread.bam",TRUE,2284069110
"CON4","Control_t0","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON4.trimmed.Rsubread.bam",FALSE,NA,TRUE,2290795901,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON4.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_CON4.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON4.trimmed.Rsubread.bam",TRUE,2290795901
"CON5","Control_t0","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON5.trimmed.Rsubread.bam",FALSE,NA,TRUE,3061820757,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON5.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_CON5.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON5.trimmed.Rsubread.bam",TRUE,3061820757
"CON6","Control_t0","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON6.trimmed.Rsubread.bam",FALSE,NA,TRUE,1808467614,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON6.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_CON6.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON6.trimmed.Rsubread.bam",TRUE,1808467614
"INJS1","ACLT_t7","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS1.trimmed.Rsubread.bam",FALSE,NA,TRUE,2279252133,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS1.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_INJS1.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS1.trimmed.Rsubread.bam",TRUE,2279252133
"INJS2","ACLT_t7","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS2.trimmed.Rsubread.bam",FALSE,NA,TRUE,2060421483,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS2.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_INJS2.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS2.trimmed.Rsubread.bam",TRUE,2060421483
"INJS3","ACLT_t7","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS3.trimmed.Rsubread.bam",FALSE,NA,TRUE,1905063067,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS3.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_INJS3.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS3.trimmed.Rsubread.bam",TRUE,1905063067
"INJS4","ACLT_t7","run_align",0,TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS4.trimmed.Rsubread.bam",FALSE,NA,TRUE,1479896798,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS4.trimmed.Rsubread.bam.summary",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w4_v2_align_INJS4.log",NA,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS4.trimmed.Rsubread.bam",TRUE,1479896798
