"sample_id","group","assigned","total_status_reads","assignment_rate_pct"
"CON1","Control_t0",10625439,15280320,69.537
"CON2","Control_t0",8000690,11617827,68.866
"CON3","Control_t0",12107657,18497364,65.456
"CON4","Control_t0",14011784,19385810,72.279
"CON5","Control_t0",18316030,25249861,72.539
"CON6","Control_t0",10742940,13913812,77.211
"INJS1","ACLT_t7",14263343,18245721,78.174
"INJS2","ACLT_t7",13541819,17533322,77.235
"INJS3","ACLT_t7",12222584,15455529,79.082
"INJS4","ACLT_t7",8969248,11367234,78.904
"INJS5","ACLT_t7",12291971,15917320,77.224
"INJS6","ACLT_t7",7587994,9684155,78.355
"INJL1","ACLT_t28",10166423,14042297,72.399
"INJL2","ACLT_t28",9537502,12249864,77.858
"INJL3","ACLT_t28",12302593,15393438,79.921
"INJL4","ACLT_t28",13810820,17831250,77.453
"INJL5","ACLT_t28",11827863,15448489,76.563
"INJL6","ACLT_t28",9594833,12184177,78.748
