"sample_id","group","bam_file"
"CON1","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON1.trimmed.Rsubread.bam"
"CON2","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON2.trimmed.Rsubread.bam"
"CON3","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON3.trimmed.Rsubread.bam"
"CON4","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON4.trimmed.Rsubread.bam"
"CON5","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON5.trimmed.Rsubread.bam"
"CON6","Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/CON6.trimmed.Rsubread.bam"
"INJS1","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS1.trimmed.Rsubread.bam"
"INJS2","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS2.trimmed.Rsubread.bam"
"INJS3","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS3.trimmed.Rsubread.bam"
"INJS4","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS4.trimmed.Rsubread.bam"
"INJS5","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS5.trimmed.Rsubread.bam"
"INJS6","ACLT_t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJS6.trimmed.Rsubread.bam"
"INJL1","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJL1.trimmed.Rsubread.bam"
"INJL2","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJL2.trimmed.Rsubread.bam"
"INJL3","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJL3.trimmed.Rsubread.bam"
"INJL4","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJL4.trimmed.Rsubread.bam"
"INJL5","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJL5.trimmed.Rsubread.bam"
"INJL6","ACLT_t28","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/bam_trimmed/INJL6.trimmed.Rsubread.bam"
