"gene_id","logFC","logCPM","F","PValue","FDR","comparison","direction","FDR_lt_0_05","strict_DE_FDR_0_05_abslogFC_1","strict_direction"
"ENSSSCG00000022429",-3.0131883083128,3.96974659761745,419.673167675792,1.06330711162931e-11,1.20391472896881e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000029944",-3.92273639441295,6.5442658007487,381.38896141274,2.00150551907339e-11,1.20391472896881e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000029395",-4.16020750949588,3.81857534197291,369.274686732073,2.5499464747998e-11,1.20391472896881e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000017583",-3.23687467916084,4.52163098681407,265.923502960726,2.17571697129131e-10,7.70421379534252e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000008501",-3.73493849369959,5.09774556239307,241.868948021792,4.04520857263238e-10,9.31747556432774e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000011557",-4.12219915500105,5.55654573845644,236.703784449954,4.65593438437502e-10,9.31747556432774e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000014988",7.85802258981419,4.11240715510642,163.975421549182,4.78427807948933e-10,9.31747556432774e-07,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000058412",-5.01919402531129,0.128292211919669,108.000413856752,5.26262387140793e-10,9.31747556432774e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000007391",-3.63622577884225,3.60617142207852,226.682863673457,6.25215815832892e-10,9.75449009581689e-07,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000007235",2.14107026709194,3.9049220169972,222.897207771257,6.886818762932e-10,9.75449009581689e-07,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000031228",-3.88897552879583,1.96711674186399,214.046215257225,1.04950559728983e-09,1.35138157091028e-06,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
