"metric","value"
"project_root","E:/R/ACLsenescence2"
"branch_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity"
"counts_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_gene_level_counts_matrix.csv"
"sample_info_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_sample_info_for_DE.csv"
"h2w5_summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_featureCounts_overall_summary.csv"
"edgeR_version","4.8.2"
"n_samples","18"
"n_input_genes","35682"
"n_contrasts","2"
"n_t7_tested_genes","14405"
"n_t7_FDR_lt_0_05","6052"
"n_t7_strict_FDR_0_05_abslogFC_1","2043"
"n_t28_tested_genes","14164"
"n_t28_FDR_lt_0_05","6008"
"n_t28_strict_FDR_0_05_abslogFC_1","1887"
"batch_ok_h2w6","TRUE"
"sample_library_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_count_library_summary_18samples.csv"
"run_summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_edgeR_QLF_DE_run_summary.csv"
"method_params_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_edgeR_QLF_method_parameters.csv"
"summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_edgeR_QLF_overall_summary.csv"
"config_rds","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w6_trimmed_edgeR_QLF_config.rds"
"log_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w6_trimmed_edgeR_QLF_DE_log.txt"
"status","Step H2w6 completed successfully"
