"metric","value"
"project_root","E:/R/ACLsenescence2"
"branch_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity"
"untrimmed_tables_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables"
"trimmed_tables_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables"
"n_contrasts_compared","2"
"min_common_genes","13990"
"min_spearman_logFC_common","0.999252"
"min_strict_jaccard","0.938085"
"min_direction_agreement_pct_strict_union","99.946"
"batch_ok_h2w7","TRUE"
"candidate_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w7_DE_file_selection_candidates.csv"
"selected_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w7_DE_file_selection_selected_files.csv"
"summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w7_trimmed_vs_untrimmed_DE_stability_summary.csv"
"interpretation_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w7_trimmed_vs_untrimmed_DE_stability_interpretation_flags.csv"
"log_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w7_trimmed_vs_untrimmed_DE_stability_log.txt"
"status","Step H2w7 completed successfully"
