"metric","value"
"signature_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_signature_gene_table.csv"
"untrimmed_counts_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step16_pig_early_gene_count_matrix.csv"
"trimmed_counts_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_gene_level_counts_matrix.csv"
"trimmed_sample_info_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_sample_info_for_DE.csv"
"n_signature_genes_used","75"
"n_up_signature_genes_used","65"
"n_down_signature_genes_used","10"
"n_detected_untrimmed","75"
"n_detected_trimmed","75"
"n_samples_compared","18"
"primary_scores","directional_score; up_score; down_score_reoriented"
"min_spearman_primary_scores","0.98968"
"max_abs_delta_primary_scores","0.065865"
"overall_stability_flag","stable"
"plot_png","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/figures/stepH2w8_current78_signature_score_trimmed_vs_untrimmed_scatter.png"
"plot_pdf","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/figures/stepH2w8_current78_signature_score_trimmed_vs_untrimmed_scatter.pdf"
"scores_wide_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/stepH2w8_current78_signature_score_trimmed_vs_untrimmed_wide.csv"
"score_stability_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/stepH2w8_current78_signature_score_stability_metrics.csv"
"group_comparison_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/stepH2w8_current78_signature_score_group_comparison_by_branch.csv"
"official_untrimmed_score_audit_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/stepH2w8_current78_official_step19_untrimmed_score_audit.csv"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability"
