"pathway","NES_untrimmed","pval_untrimmed","padj_untrimmed","size_untrimmed","NES_trimmed","pval_trimmed","padj_trimmed","size_trimmed","contrast","timepoint","delta_NES","abs_delta_NES","direction_same","is_target"
"HALLMARK_ADIPOGENESIS",-2.4915283018688,1.70129076199196e-19,2.83548460331994e-18,175,-2.49038826858233,6.22878212787233e-19,1.03813035464539e-17,175,"ACLT_untreated_t28_vs_Control","t28",0.00114003328646728,0.00114003328646728,TRUE,FALSE
"HALLMARK_ALLOGRAFT_REJECTION",0.952328732725549,0.566265060240964,0.693774131274131,143,0.956318992637289,0.6,0.71120374433231,143,"ACLT_untreated_t28_vs_Control","t28",0.00399025991173962,0.00399025991173962,TRUE,FALSE
"HALLMARK_ANDROGEN_RESPONSE",1.48096539008583,0.00661711279188214,0.0165427819797054,82,1.50079410067669,0.00994744552373228,0.0236843941041245,82,"ACLT_untreated_t28_vs_Control","t28",0.0198287105908603,0.0198287105908603,TRUE,FALSE
"HALLMARK_ANGIOGENESIS",1.27310657086404,0.143192488262911,0.25853889943074,31,1.26480299150553,0.127139364303178,0.227034579112819,31,"ACLT_untreated_t28_vs_Control","t28",-0.00830357935850601,0.00830357935850601,TRUE,FALSE
"HALLMARK_APICAL_JUNCTION",-0.971256254552824,0.535398230088496,0.686407987292943,148,-0.977080398149256,0.505185185185185,0.647673314339981,148,"ACLT_untreated_t28_vs_Control","t28",-0.00582414359643246,0.00582414359643246,TRUE,FALSE
"HALLMARK_APICAL_SURFACE",-1.28196438994507,0.145077720207254,0.25853889943074,29,-1.31263472973217,0.105527638190955,0.202937765751836,29,"ACLT_untreated_t28_vs_Control","t28",-0.0306703397870969,0.0306703397870969,TRUE,FALSE
"HALLMARK_APOPTOSIS",-0.935895314637164,0.619326500732064,0.703780114468255,136,-0.908576929451918,0.690119760479042,0.769085411942555,137,"ACLT_untreated_t28_vs_Control","t28",0.0273183851852458,0.0273183851852458,TRUE,FALSE
"HALLMARK_BILE_ACID_METABOLISM",-1.91611421741477,1.46693540060391e-05,9.16834625377442e-05,74,-1.94142650679398,8.67663625067864e-06,5.42289765667415e-05,74,"ACLT_untreated_t28_vs_Control","t28",-0.0253122893792093,0.0253122893792093,TRUE,FALSE
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.911581768394,0.000102243233187232,0.000393243204566278,66,-1.93499496407969,5.04091390818555e-05,0.000193881304160983,66,"ACLT_untreated_t28_vs_Control","t28",-0.0234131956856884,0.0234131956856884,TRUE,FALSE
"HALLMARK_COAGULATION",-0.827117826477408,0.842185128983308,0.91257436724816,96,-0.810657935998925,0.866666666666667,0.921985815602837,96,"ACLT_untreated_t28_vs_Control","t28",0.0164598904784824,0.0164598904784824,TRUE,FALSE
"HALLMARK_COMPLEMENT",0.759237347603625,0.990566037735849,0.990566037735849,151,0.785919387580763,0.972560975609756,0.983655274888559,151,"ACLT_untreated_t28_vs_Control","t28",0.026682039977138,0.026682039977138,TRUE,FALSE
"HALLMARK_DNA_REPAIR",-0.767321745666976,0.951824817518248,0.971249813794131,134,-0.74616272342791,0.983655274888559,0.983655274888559,134,"ACLT_untreated_t28_vs_Control","t28",0.0211590222390667,0.0211590222390667,TRUE,FALSE
"HALLMARK_E2F_TARGETS",2.75715413505175,2.47573662580907e-23,6.18934156452268e-22,182,2.71174529330688,2.41905376606046e-23,6.04763441515115e-22,182,"ACLT_untreated_t28_vs_Control","t28",-0.0454088417448721,0.0454088417448721,TRUE,FALSE
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.14814822701775,0.16,0.25853889943074,149,-1.12985798797227,0.178571428571429,0.276891724260145,149,"ACLT_untreated_t28_vs_Control","t28",0.0182902390454753,0.0182902390454753,TRUE,FALSE
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.07369546353838,0.282608695652174,0.403726708074534,138,1.08938578538777,0.240963855421687,0.344234079173838,138,"ACLT_untreated_t28_vs_Control","t28",0.0156903218493918,0.0156903218493918,TRUE,FALSE
"HALLMARK_FATTY_ACID_METABOLISM",-2.07465119995611,3.10364413441947e-08,2.58637011201622e-07,128,-2.0280842905583,2.84643526456383e-08,2.37202938713653e-07,128,"ACLT_untreated_t28_vs_Control","t28",0.0465669093978125,0.0465669093978125,TRUE,FALSE
"HALLMARK_G2M_CHECKPOINT",2.93413411632138,6.83619539280502e-29,3.41809769640251e-27,184,2.88713596985875,8.47368564874349e-29,4.23684282437175e-27,184,"ACLT_untreated_t28_vs_Control","t28",-0.0469981464626255,0.0469981464626255,TRUE,FALSE
"HALLMARK_GLYCOLYSIS",1.1586094918981,0.134375,0.25853889943074,156,1.17086514822833,0.090625,0.188802083333333,156,"ACLT_untreated_t28_vs_Control","t28",0.0122556563302221,0.0122556563302221,TRUE,FALSE
"HALLMARK_HEDGEHOG_SIGNALING",0.755917284103424,0.85781990521327,0.91257436724816,26,0.774723813525131,0.80607476635514,0.876168224299065,26,"ACLT_untreated_t28_vs_Control","t28",0.0188065294217079,0.0188065294217079,TRUE,FALSE
"HALLMARK_HEME_METABOLISM",-1.15477821102245,0.160294117647059,0.25853889943074,144,-1.13068559605898,0.182748538011696,0.276891724260145,144,"ACLT_untreated_t28_vs_Control","t28",0.0240926149634764,0.0240926149634764,TRUE,FALSE
"HALLMARK_HYPOXIA",-1.27866345495644,0.0477568740955137,0.103819291511986,166,-1.27421881514692,0.0449275362318841,0.0976685570258349,166,"ACLT_untreated_t28_vs_Control","t28",0.00444463980951992,0.00444463980951992,TRUE,FALSE
"HALLMARK_IL2_STAT5_SIGNALING",1.09241959523118,0.221518987341772,0.335634829305715,159,1.1153193610182,0.169753086419753,0.276891724260145,159,"ACLT_untreated_t28_vs_Control","t28",0.0228997657870156,0.0228997657870156,TRUE,FALSE
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.10598824527346,0.215469613259669,0.335634829305715,68,1.1340977541623,0.178470254957507,0.276891724260145,68,"ACLT_untreated_t28_vs_Control","t28",0.0281095088888388,0.0281095088888388,TRUE,FALSE
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.930468485361418,0.597222222222222,0.694444444444444,77,-0.933244478765133,0.611635220125786,0.71120374433231,77,"ACLT_untreated_t28_vs_Control","t28",-0.00277599340371482,0.00277599340371482,TRUE,FALSE
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.925844472083384,0.672955974842767,0.747728860936408,151,0.95158502442177,0.597560975609756,0.71120374433231,151,"ACLT_untreated_t28_vs_Control","t28",0.0257405523383858,0.0257405523383858,TRUE,FALSE
