"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000016658","ANLN",2.99845562222672,5.6210988183389e-12,3.24129030948747e-08,11.2501787797876
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000015581","CENPF",4.11887269021752,6.75559436279714e-12,3.24129030948747e-08,11.1703364353721
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000008747","NCAPG",3.48171044586027,6.99854005411212e-12,3.24129030948747e-08,11.154992547496
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000007235","TPX2",3.35779491028046,9.00045903363406e-12,3.24129030948747e-08,11.045735340484
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000012377","KIF4A",3.82533294773684,1.3371746512962e-11,3.85240017038436e-08,10.8738118648842
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000004969","KIF23",3.35719592020148,2.83386862823672e-11,6.45712435672358e-08,10.5476202865354
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000028840","EZH2",1.92959892607665,4.05486712216026e-11,6.45712435672358e-08,10.3920233730331
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000017473","TOP2A",3.50419138619488,4.14351073819193e-11,6.45712435672358e-08,10.3826315313149
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000011309","KIF15",3.57269772710251,4.20200256093862e-11,6.45712435672358e-08,10.3765436872463
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000010471","KIF11",3.12297214481096,4.93081346226722e-11,6.45712435672358e-08,10.307081426964
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000003628","CLSPN",2.29463528265113,1.36856041122112e-10,1.45367868813301e-07,9.86373602713153
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000007423","UBE2C",3.42523829928468,1.47175443729242e-10,1.45367868813301e-07,9.83216464612989
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000032909","CDCA8",3.12573970510666,1.71537430897137e-10,1.45367868813301e-07,9.7656410986046
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000014256","FBN2",3.97915955134661,1.84251008374844e-10,1.45367868813301e-07,9.7345901266416
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000029509","KIF22",2.52276714672608,1.94141551463069e-10,1.45367868813301e-07,9.71188150407649
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000007366","MYBL2",2.69808794093552,2.07854555374814e-10,1.45367868813301e-07,9.68224045298377
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000003931","KIF2C",3.29767391897536,2.17987008321034e-10,1.45367868813301e-07,9.66156938888446
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000004588","CCNB2",3.3639006205394,2.32283295277122e-10,1.45367868813301e-07,9.63398202149475
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000003697","NDC80",3.5244226943974,2.41382577723965e-10,1.45367868813301e-07,9.61729407919061
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000025344","PHC2",1.8406913722287,2.50653158326456e-10,1.45367868813301e-07,9.6009268187385
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000014326","KIF20A",3.85723020345847,2.51476392952636e-10,1.45367868813301e-07,9.59950277757269
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000009839","CIT",3.24991391579932,2.5228717253263e-10,1.45367868813301e-07,9.59810483049677
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000029326","CCNB1",3.7951508203963,2.90981824763228e-10,1.54566469666395e-07,9.53613413696444
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000000171","CKAP4",1.62177044298126,3.00441593242558e-10,1.54566469666395e-07,9.52223994362095
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000035537","RUNX1",1.42810676747169,3.15430677229271e-10,1.56682031223712e-07,9.50109607161742
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000030469","BUB1",3.86842245337449,3.76493664750793e-10,1.80779708024506e-07,9.42424232726387
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000000217","RACGAP1",2.82934212705462,4.19350940142482e-10,1.81991495356489e-07,9.37742237900104
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000010495","ALDH18A1",1.64157902384509,4.2960945681897e-10,1.81991495356489e-07,9.36692616725475
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000005056","DLGAP5",4.02086791713558,4.35999681713634e-10,1.81991495356489e-07,9.36051382777284
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000005344","MELK",3.61725904540748,4.51881826272256e-10,1.81991495356489e-07,9.34497512471967
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000004565","CA12",4.66316267820828,4.548208144973e-10,1.81991495356489e-07,9.34215966840279
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000006273","MCM4",1.69200982915078,4.84690421970809e-10,1.88701771040257e-07,9.31453556234104
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000004466","TTK",3.75664442918159,5.39539461306038e-10,1.99283742054192e-07,9.26797678601216
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000004782","BUB1B",3.35280904345175,6.22708061392686e-10,2.24252740609041e-07,9.20571551199548
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000013008","CDCA5",3.31328326659293,6.66540654170986e-10,2.34183368861782e-07,9.1761733566122
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000000739","FOXM1",3.52134879563738,7.28754102162795e-10,2.44289121291597e-07,9.13741898757886
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000007476","KCNG1",4.87934537991285,7.29221257586858e-10,2.44289121291597e-07,9.13714067967956
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000035454","B4GALT1",1.19010340512968,7.5201790948288e-10,2.4620040877502e-07,9.12377181646026
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000037120","TK1",3.01861680269573,8.20594819292375e-10,2.62681519375703e-07,9.08587122921634
"ACLT_untreated_t7_vs_Control","trimmed","ENSSSCG00000014988","MMP13",9.30773224874522,8.90273200756178e-10,2.73575323490025e-07,9.05047669967663
