"metric","value"
"current78_signature_genes","75"
"current78_up_signature_genes","65"
"current78_down_signature_genes","10"
"trimmed_signature_genes_detected_in_counts","75"
"trimmed_signature_genes_tested_in_t7_DE","66"
"trimmed_signature_genes_tested_in_t28_DE","65"
"trimmed_direction_consistent_t7","54"
"trimmed_direction_consistent_t28","48"
"trimmed_direction_consistent_both_timepoints","47"
"trimmed_stat_strict_t7_FDR_abslogFC_only","38"
"trimmed_stat_strict_t28_FDR_abslogFC_only","30"
"trimmed_stat_strict_both_FDR_abslogFC_only","29"
"trimmed_strict_t7_direction_consistent","34"
"trimmed_strict_t28_direction_consistent","26"
"trimmed_strict_both_direction_consistent","25"
"trimmed_core_like_genes","25"
"main_core_genes_from_untrimmed_primary_analysis","24"
"main_core_genes_detected_in_trimmed_counts","24"
"main_core_genes_tested_in_trimmed_t7_DE","24"
"main_core_genes_tested_in_trimmed_t28_DE","24"
"main_core_genes_direction_consistent_t7_trimmed","24"
"main_core_genes_direction_consistent_t28_trimmed","24"
"main_core_genes_direction_consistent_both_trimmed","24"
"main_core_genes_stat_strict_t7_FDR_abslogFC_only_trimmed","24"
"main_core_genes_stat_strict_t28_FDR_abslogFC_only_trimmed","24"
"main_core_genes_stat_strict_both_FDR_abslogFC_only_trimmed","24"
"main_core_genes_strict_t7_direction_consistent_trimmed","24"
"main_core_genes_strict_t28_direction_consistent_trimmed","24"
"main_core_genes_strict_both_direction_consistent_trimmed","24"
"main_core_genes_preserved_as_core_like_in_trimmed","24"
"official_interpretation","fastp-trimmed branch is a sensitivity audit only; official core genes remain defined by the untrimmed primary analysis"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w10_current78_core_gene_sensitivity_audit"
