"panel_key","branch","contrast","pathway","rank","running_ES","is_hit","gene_symbol","NES","padj","pval","pathway_pretty","timepoint","panel_label"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1,-7.213966238638e-05,FALSE,"MMP13",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2,-0.00014427932477276,FALSE,"TPX2",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3,-0.00021641898715914,FALSE,"CENPF",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4,-0.00028855864954552,FALSE,"KIF23",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",5,-0.0003606983119319,FALSE,"NCAPG",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6,-0.00043283797431828,FALSE,"VMP1",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",7,-0.00050497763670466,FALSE,"EZH2",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",8,-0.00057711729909104,FALSE,"TTYH2",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",9,-0.00064925696147742,FALSE,"COL24A1",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",10,-0.0007213966238638,FALSE,"KIF11",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",11,-0.00079353628625018,FALSE,"PDE1C",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",12,-0.00086567594863656,FALSE,"MYO1B",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
"EMT / ECM remodeling__t28","trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",13,-0.00093781561102294,FALSE,"CHRNA3",1.51751640059966,0.00205488664075973,0.000657563725043115,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.518   |   FDR = 2.05e-03"
