"metric","value"
"stepH2w9_input_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability"
"ranked_symbols_trimmed_t7","14230"
"ranked_symbols_trimmed_t28","14032"
"target_pathways_plotted","HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"n_target_panels","4"
"trimmed_inflammatory_t7_NES","1.37164132051793"
"trimmed_inflammatory_t7_FDR","0.0417180595996559"
"trimmed_inflammatory_t28_NES","0.996541421989804"
"trimmed_inflammatory_t28_FDR","0.600328947368421"
"trimmed_EMT_t7_NES","1.64407457363652"
"trimmed_EMT_t7_FDR","0.00083371928738497"
"trimmed_EMT_t28_NES","1.51751640059966"
"trimmed_EMT_t28_FDR","0.00205488664075973"
"plot_png","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w12_current78_trimmed_GSEA_running_curves/Supplementary_fastp_trimmed_current78_Hallmark_GSEA_running_curves_mouse_style.png"
"plot_pdf","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w12_current78_trimmed_GSEA_running_curves/Supplementary_fastp_trimmed_current78_Hallmark_GSEA_running_curves_mouse_style.pdf"
"running_source_data","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w12_current78_trimmed_GSEA_running_curves/stepH2w12_current78_trimmed_GSEA_running_curve_source_data.csv"
"target_results_source_data","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w12_current78_trimmed_GSEA_running_curves/stepH2w12_current78_trimmed_target_pathway_results_used_for_plot.csv"
"output_fig_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w12_current78_trimmed_GSEA_running_curves"
"output_table_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w12_current78_trimmed_GSEA_running_curves"
