"metric","value"
"primary_main_analysis_core_genes_visualized","24"
"trimmed_samples_visualized","18"
"control_n","6"
"aclt_1w_n","6"
"aclt_4w_n","6"
"heatmap_color_scale","rev(RColorBrewer::RdYlBu): deep blue -> lemon yellow -> red"
"zscore_clip","[-2, 2]"
"figure_role","supplementary fastp-trimming sensitivity heatmap"
"official_core_interpretation","Official core genes remain defined by the primary untrimmed analysis; this figure visualizes those same 24 genes in the trimmed branch."
"png_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w13_current78_trimmed_main24_core_heatmap_sensitivity/Supplementary_fastp_trimmed_primary24_core_gene_heatmap_step09_style.png"
"pdf_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w13_current78_trimmed_main24_core_heatmap_sensitivity/Supplementary_fastp_trimmed_primary24_core_gene_heatmap_step09_style.pdf"
"core_table_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w13_current78_trimmed_main24_core_heatmap_sensitivity/stepH2w13_primary24_core_genes_used_for_trimmed_heatmap.csv"
"z_matrix_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w13_current78_trimmed_main24_core_heatmap_sensitivity/stepH2w13_trimmed_primary24_core_gene_heatmap_zscore_matrix.csv"
"sample_annotation_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w13_current78_trimmed_main24_core_heatmap_sensitivity/stepH2w13_trimmed_core_sample_annotation.csv"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w13_current78_trimmed_main24_core_heatmap_sensitivity"
