"manifest_row","basename_exact","destination_rel","required","category","role","preferred_relative","status","source_chosen","destination_abs","n_exact_candidates","copied"
26,"E-MTAB-6664_one_sample_per_row_key_metadata.csv","tables/00_metadata_raw_qc/E-MTAB-6664_one_sample_per_row_key_metadata.csv",FALSE,"metadata","upstream metadata","data_raw/E-MTAB-6664/E-MTAB-6664_one_sample_per_row_key_metadata.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/00_metadata_raw_qc/E-MTAB-6664_one_sample_per_row_key_metadata.csv",208,FALSE
46,"step12_fastqc_input_file_audit_from_stepF.csv","tables/02_trimming_decision/step12_fastqc_input_file_audit_from_stepF.csv",FALSE,"trimming_decision","Step12 input audit from StepF; optional because older Step12 outputs did not always generate this file","rebuild_submission/02_pig_early/tables/step12_fastqc_input_file_audit_from_stepF.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/02_trimming_decision/step12_fastqc_input_file_audit_from_stepF.csv",208,FALSE
61,"step15K_pig_early_alignment_run_summary.csv","tables/04_alignment_counts/step15K_pig_early_alignment_run_summary.csv",FALSE,"alignment","Step15 alignment status","rebuild_submission/02_pig_early/tables/step15K_pig_early_alignment_run_summary.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/04_alignment_counts/step15K_pig_early_alignment_run_summary.csv",208,FALSE
82,"StepPCA_MDS_02_PCA_unlabeled.png","figures/05_PCA_MDS/StepPCA_MDS_02_PCA_unlabeled.png",FALSE,"pca_mds","PCA/MDS figures","rebuild_submission/supplementary files/MDS_PCA/figures/StepPCA_MDS_02_PCA_unlabeled.png","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/figures/05_PCA_MDS/StepPCA_MDS_02_PCA_unlabeled.png",208,FALSE
128,"step18_current78_versions_and_parameters.csv","tables/09_current78_remap_validation/step18_current78_versions_and_parameters.csv",FALSE,"current78_remap_validation","Step18 version/parameter audit; optional because the Step18 log and summary are the required provenance files","rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_versions_and_parameters.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/09_current78_remap_validation/step18_current78_versions_and_parameters.csv",208,FALSE
180,"step20_current78_summary.csv","tables/12_Hallmark_GSEA/step20_current78_summary.csv",FALSE,"Hallmark_GSEA","Step20 GSEA","rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_summary.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/12_Hallmark_GSEA/step20_current78_summary.csv",208,FALSE
190,"Figure4C_pig_validation_flow_barplot.png","figures/Figure4C_validation_flow/Figure4C_pig_validation_flow_barplot.png",FALSE,"Figure4C","Figure4C figures","rebuild_submission/02_pig_early/figures/Figure4/Figure4C_pig_validation_flow_barplot.png","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/figures/Figure4C_validation_flow/Figure4C_pig_validation_flow_barplot.png",208,FALSE
191,"Figure4C_pig_validation_flow_barplot.pdf","figures/Figure4C_validation_flow/Figure4C_pig_validation_flow_barplot.pdf",FALSE,"Figure4C","Figure4C figures","rebuild_submission/02_pig_early/figures/Figure4/Figure4C_pig_validation_flow_barplot.pdf","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/figures/Figure4C_validation_flow/Figure4C_pig_validation_flow_barplot.pdf",208,FALSE
192,"step22_current78_Figure4D_core_heatmap_step09_style_source_matrix_TMM_logCPM.csv","tables/14_Figure4D_core_heatmap/step22_current78_Figure4D_core_heatmap_step09_style_source_matrix_TMM_logCPM.csv",FALSE,"Figure4D","Figure4D source tables","rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_heatmap_step09_style_source_matrix_TMM_logCPM.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/14_Figure4D_core_heatmap/step22_current78_Figure4D_core_heatmap_step09_style_source_matrix_TMM_logCPM.csv",208,FALSE
193,"step22_current78_Figure4D_core_heatmap_step09_style_zscore_matrix.csv","tables/14_Figure4D_core_heatmap/step22_current78_Figure4D_core_heatmap_step09_style_zscore_matrix.csv",FALSE,"Figure4D","Figure4D source tables","rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_heatmap_step09_style_zscore_matrix.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/14_Figure4D_core_heatmap/step22_current78_Figure4D_core_heatmap_step09_style_zscore_matrix.csv",208,FALSE
194,"step22_current78_Figure4D_core_gene_annotation.csv","tables/14_Figure4D_core_heatmap/step22_current78_Figure4D_core_gene_annotation.csv",FALSE,"Figure4D","Figure4D source tables","rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_gene_annotation.csv","COPY_FAILED",NA,"E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis/tables/14_Figure4D_core_heatmap/step22_current78_Figure4D_core_gene_annotation.csv",208,FALSE
