"metric","value"
"package_root","E:/R/ACLsenescence2/rebuild_submission/submission/early pig main analysis"
"n_manifest_entries","200"
"n_required_entries","83"
"n_optional_entries","117"
"n_files_copied","189"
"n_required_missing_or_failed","0"
"n_optional_missing_or_failed","11"
"n_entries_with_duplicate_exact_basename_candidates","200"
"primary_search_root","E:/R/ACLsenescence2"
"fallback_search_root","E:/R/ACLsenescence2 LD"
"matching_policy","Exact basename matching only; no fuzzy matching; no whole-folder copying; primary root has priority over fallback root."
"large_raw_alignment_reference_files_excluded","TRUE"
