"gene_id","signature_direction"
"ENSSSCG00000000002","up"
"ENSSSCG00000000217","up"
"ENSSSCG00000000265","up"
"ENSSSCG00000000739","up"
"ENSSSCG00000001510","up"
"ENSSSCG00000002383","up"
"ENSSSCG00000002669","up"
"ENSSSCG00000003239","up"
"ENSSSCG00000003756","up"
"ENSSSCG00000003931","up"
"ENSSSCG00000004466","up"
"ENSSSCG00000005055","up"
"ENSSSCG00000005096","up"
"ENSSSCG00000005134","up"
"ENSSSCG00000006496","up"
"ENSSSCG00000007334","up"
"ENSSSCG00000008601","up"
"ENSSSCG00000009002","up"
"ENSSSCG00000009378","up"
"ENSSSCG00000010214","up"
"ENSSSCG00000010540","up"
"ENSSSCG00000010703","up"
"ENSSSCG00000010761","up"
"ENSSSCG00000011226","up"
"ENSSSCG00000011959","up"
"ENSSSCG00000012056","up"
"ENSSSCG00000012365","up"
"ENSSSCG00000013260","up"
"ENSSSCG00000013735","up"
"ENSSSCG00000014136","up"
"ENSSSCG00000014326","up"
"ENSSSCG00000014927","up"
"ENSSSCG00000015022","up"
"ENSSSCG00000015604","up"
"ENSSSCG00000016617","up"
"ENSSSCG00000017082","up"
"ENSSSCG00000017178","up"
"ENSSSCG00000017306","up"
"ENSSSCG00000017355","up"
"ENSSSCG00000017991","up"
"ENSSSCG00000020864","up"
"ENSSSCG00000022126","up"
"ENSSSCG00000023920","up"
"ENSSSCG00000024872","up"
"ENSSSCG00000025698","up"
"ENSSSCG00000025822","up"
"ENSSSCG00000026130","up"
"ENSSSCG00000026748","up"
"ENSSSCG00000027426","up"
"ENSSSCG00000027855","up"
"ENSSSCG00000029326","up"
"ENSSSCG00000030469","up"
"ENSSSCG00000030484","up"
"ENSSSCG00000031970","up"
"ENSSSCG00000032269","up"
"ENSSSCG00000032613","up"
"ENSSSCG00000033608","up"
"ENSSSCG00000035537","up"
"ENSSSCG00000035746","up"
"ENSSSCG00000035878","up"
"ENSSSCG00000035952","up"
"ENSSSCG00000040183","up"
"ENSSSCG00000056309","up"
"ENSSSCG00000059646","up"
"ENSSSCG00000061433","up"
