"sample_id","source_name","injury_raw","treatment_raw","time_raw","time_unit_raw","injury_label","treatment_label","study_group_raw","core_validation_use","core_group","organism_part","sampling_site","sex","age"
"CON1","CON1","none","not applicable",0,"month","control","control","control__control__t0",TRUE,"CON_t0","synovial membrane","perimeniscal medial femorotibial joint","male",17.1
"CON2","CON2","none","not applicable",0,"month","control","control","control__control__t0",TRUE,"CON_t0","synovial membrane","perimeniscal medial femorotibial joint","female",17.8
"CON3","CON3","none","not applicable",0,"month","control","control","control__control__t0",TRUE,"CON_t0","synovial membrane","perimeniscal medial femorotibial joint","male",18
"CON4","CON4","none","not applicable",0,"month","control","control","control__control__t0",TRUE,"CON_t0","synovial membrane","perimeniscal medial femorotibial joint","female",18.4
"CON5","CON5","none","not applicable",0,"month","control","control","control__control__t0",TRUE,"CON_t0","synovial membrane","perimeniscal medial femorotibial joint","female",16.4
"CON6","CON6","none","not applicable",0,"month","control","control","control__control__t0",TRUE,"CON_t0","synovial membrane","perimeniscal medial femorotibial joint","male",16.1
"INJL1","INJL1","anterior cruciate ligament transection surgery","none",28,"month","ACLT","untreated","ACLT__untreated__t28",TRUE,"ACLT_untreated_t28","synovial membrane","perimeniscal medial femorotibial joint","female",17.4
"INJL2","INJL2","anterior cruciate ligament transection surgery","none",28,"month","ACLT","untreated","ACLT__untreated__t28",TRUE,"ACLT_untreated_t28","synovial membrane","perimeniscal medial femorotibial joint","male",17.7
"INJL3","INJL3","anterior cruciate ligament transection surgery","none",28,"month","ACLT","untreated","ACLT__untreated__t28",TRUE,"ACLT_untreated_t28","synovial membrane","perimeniscal medial femorotibial joint","male",18.2
"INJL4","INJL4","anterior cruciate ligament transection surgery","none",28,"month","ACLT","untreated","ACLT__untreated__t28",TRUE,"ACLT_untreated_t28","synovial membrane","perimeniscal medial femorotibial joint","female",16.9
"INJL5","INJL5","anterior cruciate ligament transection surgery","none",28,"month","ACLT","untreated","ACLT__untreated__t28",TRUE,"ACLT_untreated_t28","synovial membrane","perimeniscal medial femorotibial joint","male",15.3
