"fastq_file","sample_id","read","exit_status","html_created_in_raw","zip_created_in_raw","html_moved_to_outdir","zip_moved_to_outdir","html_exists_final","zip_exists_final","ok","warning_or_error","stdout_file"
"CON1_R1.fastq.gz","CON1","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON1_R1_stdout_stderr.txt"
"CON1_R2.fastq.gz","CON1","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON1_R2_stdout_stderr.txt"
"CON2_R1.fastq.gz","CON2","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON2_R1_stdout_stderr.txt"
"CON2_R2.fastq.gz","CON2","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON2_R2_stdout_stderr.txt"
"CON3_R1.fastq.gz","CON3","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON3_R1_stdout_stderr.txt"
"CON3_R2.fastq.gz","CON3","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON3_R2_stdout_stderr.txt"
"CON4_R1.fastq.gz","CON4","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON4_R1_stdout_stderr.txt"
"CON4_R2.fastq.gz","CON4","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON4_R2_stdout_stderr.txt"
"CON5_R1.fastq.gz","CON5","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON5_R1_stdout_stderr.txt"
"CON5_R2.fastq.gz","CON5","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON5_R2_stdout_stderr.txt"
"CON6_R1.fastq.gz","CON6","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON6_R1_stdout_stderr.txt"
"CON6_R2.fastq.gz","CON6","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_CON6_R2_stdout_stderr.txt"
"INJS1_R1.fastq.gz","INJS1","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJS1_R1_stdout_stderr.txt"
"INJS1_R2.fastq.gz","INJS1","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJS1_R2_stdout_stderr.txt"
"INJS2_R1.fastq.gz","INJS2","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJS2_R1_stdout_stderr.txt"
"INJS2_R2.fastq.gz","INJS2","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJS2_R2_stdout_stderr.txt"
"INJS3_R1.fastq.gz","INJS3","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJS3_R1_stdout_stderr.txt"
"INJS3_R2.fastq.gz","INJS3","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJS3_R2_stdout_stderr.txt"
"INJS4_R1.fastq.gz","INJS4","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJS4_R1_stdout_stderr.txt"
