"sample_id","PASS","WARN","FAIL","n_total_modules"
"CON3_R2",7,0,4,11
"INJS1_R2",7,0,4,11
"INJL3_R2",7,1,3,11
"INJS5_R2",7,1,3,11
"CON2_R2",8,0,3,11
"CON2_R1",7,2,2,11
"INJS2_R1",7,2,2,11
"INJS2_R2",7,2,2,11
"INJS5_R1",7,2,2,11
"CON1_R1",8,1,2,11
"CON1_R2",8,1,2,11
"CON3_R1",8,1,2,11
"CON6_R2",8,1,2,11
"INJL2_R2",8,1,2,11
"INJL4_R1",8,1,2,11
"INJL4_R2",8,1,2,11
"INJL5_R1",8,1,2,11
"INJL5_R2",8,1,2,11
"INJL6_R2",8,1,2,11
"INJS4_R2",8,1,2,11
"CON4_R1",9,0,2,11
"CON4_R2",9,0,2,11
"CON5_R1",9,0,2,11
"CON5_R2",9,0,2,11
"INJL1_R1",9,0,2,11
"INJL1_R2",9,0,2,11
"INJL3_R1",9,0,2,11
"INJS1_R1",9,0,2,11
"INJS3_R1",9,0,2,11
"INJS4_R1",7,3,1,11
"CON6_R1",8,2,1,11
"INJL2_R1",8,2,1,11
"INJL6_R1",8,2,1,11
"INJS6_R1",8,2,1,11
"INJS3_R2",9,1,1,11
"INJS6_R2",9,1,1,11
