"zip_file","sample_id","module","status","source_filename","parse_ok","parse_note"
"CON1_R1_fastqc.zip","CON1_R1","Adapter Content","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Basic Statistics","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Overrepresented sequences","WARN","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Per base N content","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Per base sequence content","FAIL","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Per base sequence quality","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Per sequence GC content","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Per sequence quality scores","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Per tile sequence quality","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Sequence Duplication Levels","FAIL","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R1_fastqc.zip","CON1_R1","Sequence Length Distribution","PASS","CON1_R1.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Adapter Content","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Basic Statistics","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Overrepresented sequences","WARN","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Per base N content","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Per base sequence content","FAIL","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Per base sequence quality","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Per sequence GC content","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Per sequence quality scores","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Per tile sequence quality","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Sequence Duplication Levels","FAIL","CON1_R2.fastq.gz",TRUE,"OK"
"CON1_R2_fastqc.zip","CON1_R2","Sequence Length Distribution","PASS","CON1_R2.fastq.gz",TRUE,"OK"
"CON2_R1_fastqc.zip","CON2_R1","Adapter Content","PASS","CON2_R1.fastq.gz",TRUE,"OK"
"CON2_R1_fastqc.zip","CON2_R1","Basic Statistics","PASS","CON2_R1.fastq.gz",TRUE,"OK"
"CON2_R1_fastqc.zip","CON2_R1","Overrepresented sequences","WARN","CON2_R1.fastq.gz",TRUE,"OK"
