"module","PASS","WARN","FAIL","n_total","fail_rate_pct","warn_rate_pct"
"Per base sequence content",0,0,36,36,100,0
"Sequence Duplication Levels",0,13,23,36,63.89,36.11
"Per tile sequence quality",22,5,9,36,25,13.89
"Per base N content",32,0,4,36,11.11,0
"Overrepresented sequences",25,11,0,36,0,30.56
"Per sequence GC content",31,5,0,36,0,13.89
"Adapter Content",36,0,0,36,0,0
"Basic Statistics",36,0,0,36,0,0
"Per base sequence quality",36,0,0,36,0,0
"Per sequence quality scores",36,0,0,36,0,0
"Sequence Length Distribution",36,0,0,36,0,0
