"sample_id","Adapter Content","Basic Statistics","Overrepresented sequences","Per base N content","Per base sequence content","Per base sequence quality","Per sequence GC content","Per sequence quality scores","Per tile sequence quality","Sequence Duplication Levels","Sequence Length Distribution"
"CON1_R1","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"CON1_R2","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"CON2_R1","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","WARN","FAIL","PASS"
"CON2_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS"
"CON3_R1","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"CON3_R2","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS"
"CON4_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"CON4_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"CON5_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"CON5_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"CON6_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN","PASS"
"CON6_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS"
"INJL1_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJL1_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJL2_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN","PASS"
"INJL2_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS"
"INJL3_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJL3_R2","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS"
"INJL4_R1","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJL4_R2","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJL5_R1","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJL5_R2","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJL6_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN","PASS"
"INJL6_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS"
"INJS1_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJS1_R2","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS"
"INJS2_R1","PASS","PASS","WARN","PASS","FAIL","PASS","WARN","PASS","PASS","FAIL","PASS"
"INJS2_R2","PASS","PASS","WARN","PASS","FAIL","PASS","WARN","PASS","PASS","FAIL","PASS"
"INJS3_R1","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","FAIL","PASS"
"INJS3_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","WARN","PASS"
"INJS4_R1","PASS","PASS","PASS","PASS","FAIL","PASS","WARN","PASS","WARN","WARN","PASS"
"INJS4_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS"
"INJS5_R1","PASS","PASS","WARN","PASS","FAIL","PASS","WARN","PASS","PASS","FAIL","PASS"
"INJS5_R2","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS"
"INJS6_R1","PASS","PASS","PASS","PASS","FAIL","PASS","WARN","PASS","PASS","WARN","PASS"
"INJS6_R2","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","WARN","PASS"
