"metric","value"
"project_root","E:/R/ACLsenescence2"
"fastqc_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/qc/fastqc_raw"
"multiqc_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/qc/multiqc_raw"
"n_fastqc_zip","36"
"n_fastqc_html","36"
"n_fastqc_samples_parsed","36"
"n_fastqc_module_records","396"
"n_unique_modules","11"
"multiqc_report_exists","TRUE"
"multiqc_data_dir_exists","FALSE"
"n_files_under_multiqc_dir","20"
"n_files_under_multiqc_data","0"
"status","Step F completed successfully"
