"sample_id","core_group","bam_exists","bam_size_mb","completed","run_attempts","last_attempt_time","last_success_time","last_error_message"
"CON1","CON_t0",TRUE,1718.227,TRUE,1,"2026-04-25 16:19:42","2026-04-25 16:19:42",NA
"CON2","CON_t0",TRUE,1376.152,TRUE,1,"2026-04-25 19:13:50","2026-04-25 19:13:50",NA
"CON3","CON_t0",TRUE,2085.668,TRUE,1,"2026-04-25 19:49:27","2026-04-25 19:49:27",NA
"CON4","CON_t0",TRUE,2138.592,TRUE,1,"2026-04-25 20:22:23","2026-04-25 20:22:23",NA
"CON5","CON_t0",TRUE,2844.898,TRUE,1,"2026-04-25 21:05:48","2026-04-25 21:05:48",NA
"CON6","CON_t0",TRUE,1702.829,TRUE,1,"2026-04-25 21:27:23","2026-04-25 21:27:23",NA
"INJS1","ACLT_untreated_t7",TRUE,2156.582,TRUE,1,"2026-04-25 21:54:27","2026-04-25 21:54:27",NA
"INJS2","ACLT_untreated_t7",TRUE,1950.573,TRUE,1,"2026-04-25 22:22:15","2026-04-25 22:22:15",NA
"INJS3","ACLT_untreated_t7",TRUE,1803.827,TRUE,1,"2026-04-25 22:50:43","2026-04-25 22:50:43",NA
"INJS4","ACLT_untreated_t7",TRUE,1403.147,TRUE,1,"2026-04-25 23:08:57","2026-04-25 23:08:57",NA
"INJS5","ACLT_untreated_t7",TRUE,1889.334,TRUE,1,"2026-04-25 23:31:50","2026-04-25 23:31:50",NA
"INJS6","ACLT_untreated_t7",TRUE,1091.429,TRUE,1,"2026-04-25 23:46:28","2026-04-25 23:46:28",NA
"INJL1","ACLT_untreated_t28",TRUE,1591.696,TRUE,1,"2026-04-26 00:07:31","2026-04-26 00:07:31",NA
"INJL2","ACLT_untreated_t28",TRUE,1501.777,TRUE,1,"2026-04-26 00:25:35","2026-04-26 00:25:35",NA
"INJL3","ACLT_untreated_t28",TRUE,1828.455,TRUE,1,"2026-04-26 00:48:00","2026-04-26 00:48:00",NA
"INJL4","ACLT_untreated_t28",TRUE,1973.864,TRUE,1,"2026-04-26 01:14:12","2026-04-26 01:14:12",NA
"INJL5","ACLT_untreated_t28",TRUE,1775.022,TRUE,1,"2026-04-26 01:35:56","2026-04-26 01:35:56",NA
"INJL6","ACLT_untreated_t28",TRUE,1501.593,TRUE,1,"2026-04-26 01:53:40","2026-04-26 01:53:40",NA
