"sample_id","core_group","bam_filename","bam_absolute","bam_exists","bam_size_mb","align_completed_flag"
"CON1","CON_t0","CON1.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/CON1.bam",TRUE,1718.227,TRUE
"CON2","CON_t0","CON2.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/CON2.bam",TRUE,1376.152,TRUE
"CON3","CON_t0","CON3.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/CON3.bam",TRUE,2085.668,TRUE
"CON4","CON_t0","CON4.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/CON4.bam",TRUE,2138.592,TRUE
"CON5","CON_t0","CON5.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/CON5.bam",TRUE,2844.898,TRUE
"CON6","CON_t0","CON6.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/CON6.bam",TRUE,1702.829,TRUE
"INJS1","ACLT_untreated_t7","INJS1.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJS1.bam",TRUE,2156.582,TRUE
"INJS2","ACLT_untreated_t7","INJS2.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJS2.bam",TRUE,1950.573,TRUE
"INJS3","ACLT_untreated_t7","INJS3.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJS3.bam",TRUE,1803.827,TRUE
"INJS4","ACLT_untreated_t7","INJS4.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJS4.bam",TRUE,1403.147,TRUE
"INJS5","ACLT_untreated_t7","INJS5.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJS5.bam",TRUE,1889.334,TRUE
"INJS6","ACLT_untreated_t7","INJS6.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJS6.bam",TRUE,1091.429,TRUE
"INJL1","ACLT_untreated_t28","INJL1.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJL1.bam",TRUE,1591.696,TRUE
"INJL2","ACLT_untreated_t28","INJL2.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJL2.bam",TRUE,1501.777,TRUE
"INJL3","ACLT_untreated_t28","INJL3.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJL3.bam",TRUE,1828.455,TRUE
"INJL4","ACLT_untreated_t28","INJL4.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJL4.bam",TRUE,1973.864,TRUE
"INJL5","ACLT_untreated_t28","INJL5.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJL5.bam",TRUE,1775.022,TRUE
"INJL6","ACLT_untreated_t28","INJL6.bam","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align/INJL6.bam",TRUE,1501.593,TRUE
