"strandSpecific","source_column","sample_id","assigned_from_fc_counts_colsum"
0,"CON1.bam","CON1",9802241
0,"CON2.bam","CON2",7182805
0,"CON3.bam","CON3",10664100
0,"CON4.bam","CON4",13210214
0,"CON5.bam","CON5",17038498
0,"CON6.bam","CON6",10394313
0,"INJS1.bam","INJS1",14050912
0,"INJS2.bam","INJS2",13326409
0,"INJS3.bam","INJS3",12059998
0,"INJS4.bam","INJS4",8857217
0,"INJS5.bam","INJS5",12116184
0,"INJS6.bam","INJS6",7482593
0,"INJL1.bam","INJL1",9737507
0,"INJL2.bam","INJL2",9393742
0,"INJL3.bam","INJL3",12121875
0,"INJL4.bam","INJL4",13604350
0,"INJL5.bam","INJL5",11646492
0,"INJL6.bam","INJL6",9446634
1,"CON1.bam","CON1",5158304
1,"CON2.bam","CON2",3791753
1,"CON3.bam","CON3",5651411
1,"CON4.bam","CON4",7008182
1,"CON5.bam","CON5",9027626
1,"CON6.bam","CON6",5508401
1,"INJS1.bam","INJS1",7432599
1,"INJS2.bam","INJS2",7050950
1,"INJS3.bam","INJS3",6382251
1,"INJS4.bam","INJS4",4695553
1,"INJS5.bam","INJS5",6408503
1,"INJS6.bam","INJS6",3947788
1,"INJL1.bam","INJL1",5140837
1,"INJL2.bam","INJL2",4951766
1,"INJL3.bam","INJL3",6360706
1,"INJL4.bam","INJL4",7138640
1,"INJL5.bam","INJL5",6149246
1,"INJL6.bam","INJL6",4975048
2,"CON1.bam","CON1",5162430
2,"CON2.bam","CON2",3802380
2,"CON3.bam","CON3",5647070
2,"CON4.bam","CON4",7027846
2,"CON5.bam","CON5",9018916
2,"CON6.bam","CON6",5493857
2,"INJS1.bam","INJS1",7356098
2,"INJS2.bam","INJS2",7011135
2,"INJS3.bam","INJS3",6350816
2,"INJS4.bam","INJS4",4669958
2,"INJS5.bam","INJS5",6363541
2,"INJS6.bam","INJS6",3936646
2,"INJL1.bam","INJL1",5123729
2,"INJL2.bam","INJL2",4916502
2,"INJL3.bam","INJL3",6342431
2,"INJL4.bam","INJL4",7118316
2,"INJL5.bam","INJL5",6130614
2,"INJL6.bam","INJL6",4975535
