"sample_id","group","time_point","sample_number","assigned_from_fc_counts_colsum","locked_count_matrix_colsum","difference_mode0_rerun_minus_locked","mode0_rerun_matches_locked_count_matrix"
"CON1","Control","t0",1,9802241,9802241,0,TRUE
"CON2","Control","t0",2,7182805,7182805,0,TRUE
"CON3","Control","t0",3,10664100,10664100,0,TRUE
"CON4","Control","t0",4,13210214,13210214,0,TRUE
"CON5","Control","t0",5,17038498,17038498,0,TRUE
"CON6","Control","t0",6,10394313,10394313,0,TRUE
"INJS1","ACLT_1W","t7",1,14050912,14050912,0,TRUE
"INJS2","ACLT_1W","t7",2,13326409,13326409,0,TRUE
"INJS3","ACLT_1W","t7",3,12059998,12059998,0,TRUE
"INJS4","ACLT_1W","t7",4,8857217,8857217,0,TRUE
"INJS5","ACLT_1W","t7",5,12116184,12116184,0,TRUE
"INJS6","ACLT_1W","t7",6,7482593,7482593,0,TRUE
"INJL1","ACLT_4W","t28",1,9737507,9737507,0,TRUE
"INJL2","ACLT_4W","t28",2,9393742,9393742,0,TRUE
"INJL3","ACLT_4W","t28",3,12121875,12121875,0,TRUE
"INJL4","ACLT_4W","t28",4,13604350,13604350,0,TRUE
"INJL5","ACLT_4W","t28",5,11646492,11646492,0,TRUE
"INJL6","ACLT_4W","t28",6,9446634,9446634,0,TRUE
