"sample_id","group","time_point","sample_number","strandSpecific","source_column","Assigned","Unassigned_Unmapped","Unassigned_Read_Type","Unassigned_Singleton","Unassigned_MappingQuality","Unassigned_Chimera","Unassigned_FragmentLength","Unassigned_Duplicate","Unassigned_MultiMapping","Unassigned_Secondary","Unassigned_NonSplit","Unassigned_NoFeatures","Unassigned_Overlapping_Length","Unassigned_Ambiguity","total_fragments_considered","assigned_fragments","unassigned_fragments","assignment_rate_pct","parse_status"
"CON1","Control","t0",1,0,"CON1.bam",9802241,2726316,0,232330,0,0,0,0,0,0,0,2264531,0,298563,15323981,9802241,5521740,63.9666741951716,"PASS"
"CON2","Control","t0",2,0,"CON2.bam",7182805,2384711,0,204973,0,0,0,0,0,0,0,1643653,0,247018,11663160,7182805,4480355,61.5854108149078,"PASS"
"CON3","Control","t0",3,0,"CON3.bam",10664100,4553795,0,280317,0,0,0,0,0,0,0,2657541,0,390603,18546356,10664100,7882256,57.4997050633558,"PASS"
"CON4","Control","t0",4,0,"CON4.bam",13210214,2912910,0,266355,0,0,0,0,0,0,0,2650994,0,436398,19476871,13210214,6266657,67.8251347457197,"PASS"
"CON5","Control","t0",5,0,"CON5.bam",17038498,4214857,0,349781,0,0,0,0,0,0,0,3172325,0,550013,25325474,17038498,8286976,67.2781010929943,"PASS"
"CON6","Control","t0",6,0,"CON6.bam",10394313,1303116,0,274230,0,0,0,0,0,0,0,1661647,0,315342,13948648,10394313,3554335,74.5184264453444,"PASS"
"INJS1","ACLT_1W","t7",1,0,"INJS1.bam",14050912,1838271,0,318222,0,0,0,0,0,0,0,1686895,0,388232,18282532,14050912,4231620,76.8543000499056,"PASS"
"INJS2","ACLT_1W","t7",2,0,"INJS2.bam",13326409,2080466,0,243640,0,0,0,0,0,0,0,1559967,0,383712,17594194,13326409,4267785,75.7432196098327,"PASS"
"INJS3","ACLT_1W","t7",3,0,"INJS3.bam",12059998,1037020,0,276866,0,0,0,0,0,0,0,1752476,0,353362,15479722,12059998,3419724,77.908362953805,"PASS"
"INJS4","ACLT_1W","t7",4,0,"INJS4.bam",8857217,853056,0,250036,0,0,0,0,0,0,0,1172299,0,262628,11395236,8857217,2538019,77.727367822834,"PASS"
"INJS5","ACLT_1W","t7",5,0,"INJS5.bam",12116184,1637447,0,285361,0,0,0,0,0,0,0,1567243,0,339148,15945383,12116184,3829199,75.9855313603944,"PASS"
"INJS6","ACLT_1W","t7",6,0,"INJS6.bam",7482593,844831,0,149413,0,0,0,0,0,0,0,1031086,0,206175,9714098,7482593,2231505,77.0281811033819,"PASS"
"INJL1","ACLT_4W","t28",1,0,"INJL1.bam",9737507,2192523,0,216604,0,0,0,0,0,0,0,1633941,0,290820,14071395,9737507,4333888,69.2007224585764,"PASS"
