"column_name","n_core_samples","n_nonmissing","n_missing","missing_rate_pct","n_unique_nonmissing","is_batch_like_field","is_primary_design_field","is_identifier_or_file_field","unique_per_sample_or_file_level","confounded_with_core_group","usable_for_batch_model","decision_reason","example_values"
"coremeta__ENA_EXPERIMENT",18,18,0,0,18,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; confounded_with_core_group","ERX2528285 | ERX2528286 | ERX2528287 | ERX2528288 | ERX2528289 | ERX2528290 | ERX2528291 | ERX2528292 | ERX2528293 | ERX2528294 | ERX2528295 | ERX2528296 | ..."
"coremeta__ENA_RUN",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ERR2508834 | ERR2508835 | ERR2508836 | ERR2508837 | ERR2508838 | ERR2508839 | ERR2508840 | ERR2508841 | ERR2508842 | ERR2508843 | ERR2508844 | ERR2508845 | ..."
"manifest__ENA_RUN",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ERR2508834 | ERR2508835 | ERR2508836 | ERR2508837 | ERR2508838 | ERR2508839 | ERR2508840 | ERR2508841 | ERR2508842 | ERR2508843 | ERR2508844 | ERR2508845 | ..."
"manifest__R1_file",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1_R1.fastq.gz | CON2_R1.fastq.gz | CON3_R1.fastq.gz | CON4_R1.fastq.gz | CON5_R1.fastq.gz | CON6_R1.fastq.gz | INJL1_R1.fastq.gz | INJL2_R1.fastq.gz | INJL3_R1.fastq.gz | INJL4_R1.fastq.gz | INJL5_R1.fastq.gz | INJL6_R1.fastq.gz | ..."
"manifest__R1_URI",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508840/ERR2508840_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508850/ERR2508850_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508841/ERR2508841_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508851/ERR2508851_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/002/ERR2508842/ERR2508842_1.fastq...."
"manifest__R2_file",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1_R2.fastq.gz | CON2_R2.fastq.gz | CON3_R2.fastq.gz | CON4_R2.fastq.gz | CON5_R2.fastq.gz | CON6_R2.fastq.gz | INJL1_R2.fastq.gz | INJL2_R2.fastq.gz | INJL3_R2.fastq.gz | INJL4_R2.fastq.gz | INJL5_R2.fastq.gz | INJL6_R2.fastq.gz | ..."
"manifest__R2_URI",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508840/ERR2508840_2.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508850/ERR2508850_2.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508841/ERR2508841_2.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508851/ERR2508851_2.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/002/ERR2508842/ERR2508842_2.fastq...."
"samplelevel__Assay Name",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"samplelevel__Comment[ENA_EXPERIMENT]",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ERX2528285 | ERX2528286 | ERX2528287 | ERX2528288 | ERX2528289 | ERX2528290 | ERX2528291 | ERX2528292 | ERX2528293 | ERX2528294 | ERX2528295 | ERX2528296 | ..."
"samplelevel__Comment[ENA_RUN]",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ERR2508834 | ERR2508835 | ERR2508836 | ERR2508837 | ERR2508838 | ERR2508839 | ERR2508840 | ERR2508841 | ERR2508842 | ERR2508843 | ERR2508844 | ERR2508845 | ..."
"sdrf__Assay Name",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"sdrf__Comment[ENA_EXPERIMENT]",18,18,0,0,18,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; confounded_with_core_group","ERX2528285 | ERX2528286 | ERX2528287 | ERX2528288 | ERX2528289 | ERX2528290 | ERX2528291 | ERX2528292 | ERX2528293 | ERX2528294 | ERX2528295 | ERX2528296 | ..."
"sdrf__Comment[ENA_RUN]",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ERR2508834 | ERR2508835 | ERR2508836 | ERR2508837 | ERR2508838 | ERR2508839 | ERR2508840 | ERR2508841 | ERR2508842 | ERR2508843 | ERR2508844 | ERR2508845 | ..."
"sdrf__Comment[FASTQ_URI]",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508840/ERR2508840_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508850/ERR2508850_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508841/ERR2508841_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508851/ERR2508851_1.fastq.gz | ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/002/ERR2508842/ERR2508842_1.fastq...."
"sdrf__Comment[LIBRARY_LAYOUT]",18,18,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"constant_or_single_level","PAIRED"
"sdrf__Comment[LIBRARY_SELECTION]",18,18,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"constant_or_single_level","PolyA"
"sdrf__Comment[LIBRARY_SOURCE]",18,18,0,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"constant_or_single_level; identifier_or_file_run_field","TRANSCRIPTOMIC"
"sdrf__Comment[LIBRARY_STRATEGY]",18,18,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"constant_or_single_level","RNA-Seq"
"sdrf__Comment[SUBMITTED_FILE_NAME]",18,18,0,0,18,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"unique_per_sample_or_file_level; identifier_or_file_run_field; confounded_with_core_group","CON1_R1.fastq.gz | CON2_R1.fastq.gz | CON3_R1.fastq.gz | CON4_R1.fastq.gz | CON5_R1.fastq.gz | CON6_R1.fastq.gz | INJL1_R1.fastq.gz | INJL2_R1.fastq.gz | INJL3_R1.fastq.gz | INJL4_R1.fastq.gz | INJL5_R1.fastq.gz | INJL6_R1.fastq.gz | ..."
"sdrf__Protocol REF",18,18,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"constant_or_single_level","P-MTAB-73625"
